Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,1.10536e+13,0.222,1.32766e+13,1.01177
2,20,9.95474e+12,0.316199,1.2458e+13,1.11027
3,30,9.95474e+12,0.18745,1.21018e+13,1.19922
4,40,9.95474e+12,0.222013,1.18068e+13,1.22204
5,50,8.98456e+12,0.156031,1.0877e+13,1.01505
6,60,8.98456e+12,0.122424,1.0877e+13,0.890458
7,70,8.96031e+12,0.110279,1.07085e+13,1.04245
8,80,8.96031e+12,0.184312,1.01803e+13,1.04927
9,90,8.96031e+12,0.174388,1.01803e+13,1.01646
10,100,8.96031e+12,0.11269,1.01803e+13,0.903591
11,110,8.96031e+12,0.140873,1.0168e+13,0.88154
12,120,8.94571e+12,0.0853121,1.01436e+13,0.897359
13,130,8.94571e+12,0.0755182,1.0043e+13,0.937352
14,140,8.94571e+12,0.0671348,1.0043e+13,0.999486
15,150,8.94571e+12,0.078134,1.0043e+13,0.974388
16,160,8.26511e+12,0.0553101,9.88628e+12,0.838173
17,170,8.26511e+12,0.0862998,9.80912e+12,0.877681
18,180,8.26511e+12,0.0920104,9.80912e+12,0.975037
19,190,8.23755e+12,0.0710435,9.56878e+12,0.874818
20,200,7.38803e+12,0.122901,9.34782e+12,0.847856
21,210,7.38803e+12,0.163972,9.34782e+12,0.849385
22,220,7.27235e+12,0.118063,9.22552e+12,0.906821
23,230,7.27235e+12,0.0776298,9.22552e+12,0.953551
24,240,7.27235e+12,0.0771787,9.22552e+12,0.956589
25,250,7.27235e+12,0.0621543,9.22552e+12,0.877827
26,260,7.27235e+12,0.0798912,9.22552e+12,0.752681
27,270,7.27235e+12,0.122506,9.2207e+12,0.809387
28,280,7.27235e+12,0.0623849,9.1838e+12,0.913263
29,290,7.27235e+12,0.0681291,8.97695e+12,0.729574
30,300,7.27235e+12,0.072258,8.92184e+12,0.726849
31,310,7.27235e+12,0.0422655,8.84935e+12,0.714637
32,320,7.27235e+12,0.0665177,8.81865e+12,0.899717
33,330,7.028e+12,0.040017,8.7346e+12,0.774795
