Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,1.08833e+13,0.413087,1.27395e+13,0.856583
2,20,5.193e+12,0.277662,1.20145e+13,0.927375
3,30,5.193e+12,0.144937,1.14005e+13,0.769295
4,40,5.193e+12,0.102953,1.06966e+13,0.778282
5,50,3.4365e+12,0.139713,9.25258e+12,0.895594
6,60,3.4365e+12,0.0637817,8.50802e+12,0.735807
7,70,3.4365e+12,0.0392796,7.92807e+12,0.567892
8,80,3.4365e+12,0.0486051,7.03268e+12,0.442864
9,90,3.4365e+12,0.0461473,6.58136e+12,0.416218
10,100,3.4365e+12,0.0759645,5.96293e+12,0.339197
11,110,3.43306e+12,0.0392543,5.75795e+12,0.354367
12,120,3.43306e+12,0.0511777,5.11379e+12,0.324924
13,130,3.39261e+12,0.0380328,4.71812e+12,0.32476
14,140,3.39261e+12,0.0177474,4.71812e+12,0.34247
15,150,3.16727e+12,0.0495076,4.46571e+12,0.27502
16,160,3.16727e+12,0.0296489,4.46571e+12,0.325077
17,170,3.16727e+12,0.0317996,4.4633e+12,0.268901
18,180,3.16727e+12,0.0340742,3.78067e+12,0.316629
19,190,3.16727e+12,0.0361749,3.78067e+12,0.242795
20,200,3.16727e+12,0.0102287,3.78067e+12,0.194922
21,210,3.16727e+12,0.0427482,3.718e+12,0.224315
22,220,3.16727e+12,0.0122524,3.718e+12,0.357233
23,230,2.77566e+12,0.0492037,3.62328e+12,0.277452
24,240,2.77566e+12,0.0319719,3.62328e+12,0.216192
25,250,2.77566e+12,0.032169,3.62328e+12,0.1583
26,260,2.77566e+12,0.0291542,3.62328e+12,0.178969
27,270,2.28179e+12,0.0321163,3.49256e+12,0.300099
28,280,2.28179e+12,0.0113383,3.49256e+12,0.228829
29,290,2.28179e+12,0.0410879,3.49256e+12,0.111921
30,300,2.28179e+12,0.0151675,3.49256e+12,0.219567
31,310,2.28179e+12,0.0335579,3.49256e+12,0.209897
32,320,2.28179e+12,0.0139788,3.49256e+12,0.254717
33,330,2.28179e+12,0.0260083,3.49256e+12,0.220465
34,340,2.28179e+12,0.0278713,3.49256e+12,0.186323
35,350,2.28179e+12,0.0237473,3.48579e+12,0.260741
36,360,2.28179e+12,0.0111963,3.47726e+12,0.2489
37,370,2.28179e+12,0.0227189,3.47726e+12,0.18841
38,380,2.28179e+12,0.00998921,3.47493e+12,0.193264
39,390,2.28179e+12,0.018746,3.38405e+12,0.182338
40,400,2.28179e+12,0.0114969,3.38405e+12,0.237977
41,410,2.28179e+12,0.0236809,3.3456e+12,0.165457
42,420,2.28179e+12,0.0240185,3.3283e+12,0.175259
43,430,2.28179e+12,0.0274761,3.3283e+12,0.221285
44,440,2.28179e+12,0.0194627,3.3283e+12,0.233201
45,450,2.28179e+12,0.0186471,3.28004e+12,0.198938
46,460,2.28179e+12,0.0273362,3.2378e+12,0.124226
47,470,2.28179e+12,0.0137764,3.2008e+12,0.120181
48,480,2.28179e+12,0.0244839,3.2008e+12,0.180097
49,490,2.28179e+12,0.00526216,3.17419e+12,0.132585
