Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,2.66053e+09,0.196983,3.40523e+09,0.617788
2,20,2.50865e+09,0.480957,3.19684e+09,0.55897
3,30,2.50865e+09,0.290078,2.89942e+09,0.359191
4,40,2.50865e+09,0.0996197,2.76392e+09,0.305376
5,50,2.50865e+09,0.0515451,2.76392e+09,0.32744
6,60,2.36642e+09,0.0466901,2.71331e+09,0.316566
7,70,2.36642e+09,0.0149707,2.68421e+09,0.271928
8,80,2.36642e+09,0.0940527,2.6462e+09,0.251637
9,90,2.36642e+09,0.0266588,2.57645e+09,0.203107
10,100,2.36642e+09,0.046116,2.54852e+09,0.142365
11,110,2.36642e+09,0.0454792,2.54852e+09,0.123805
12,120,2.36642e+09,0.0499925,2.54305e+09,0.124521
13,130,2.36642e+09,0.0851747,2.53904e+09,0.114882
14,140,2.36642e+09,0.0407295,2.52403e+09,0.137763
15,150,2.36642e+09,0.074885,2.52403e+09,0.127634
16,160,2.36642e+09,0.0495622,2.5121e+09,0.10057
17,170,2.36642e+09,0.0147458,2.5121e+09,0.122664
18,180,2.36642e+09,0.0662009,2.5037e+09,0.0969641
19,190,2.36642e+09,0.0369769,2.50341e+09,0.0952107
20,200,2.36642e+09,0.0251815,2.50341e+09,0.0940755
21,210,2.36642e+09,0.0417897,2.50341e+09,0.112721
22,220,2.36642e+09,0.00597788,2.49838e+09,0.0980833
23,230,2.36642e+09,0.0220014,2.49838e+09,0.0891931
24,240,2.36642e+09,0.0435258,2.49838e+09,0.0975105
25,250,2.36311e+09,0.0266042,2.49319e+09,0.121884
26,260,2.36311e+09,0.0432327,2.49319e+09,0.0963849
27,270,2.36311e+09,0.0859875,2.49319e+09,0.0988521
28,280,2.36311e+09,0.0511468,2.47259e+09,0.0997635
29,290,2.36311e+09,0.0510759,2.45802e+09,0.0800775
30,300,2.36311e+09,0.0380117,2.45802e+09,0.110561
31,310,2.18405e+09,0.0342512,2.43493e+09,0.0847749
32,320,2.18405e+09,0.0391554,2.43493e+09,0.0772422
33,330,2.18405e+09,0.038289,2.43493e+09,0.103562
34,340,2.18405e+09,0.022989,2.43493e+09,0.120995
35,350,2.18405e+09,0.0129618,2.43493e+09,0.0721124
36,360,2.18405e+09,0.0169421,2.43493e+09,0.0605782
37,370,2.18405e+09,0.0117218,2.43493e+09,0.0734189
38,380,2.18405e+09,0.0149853,2.43493e+09,0.106743
39,390,2.18405e+09,0.028653,2.43493e+09,0.0771577
40,400,2.18405e+09,0.0256918,2.43188e+09,0.0691359
41,410,2.18405e+09,0.0262884,2.42729e+09,0.0773477
42,420,2.18405e+09,0.0656499,2.41922e+09,0.104596
43,430,2.18405e+09,0.0227828,2.41922e+09,0.10456
44,440,2.18405e+09,0.0203725,2.41922e+09,0.0542619
45,450,2.18405e+09,0.0175228,2.41922e+09,0.062259
46,460,2.18405e+09,0.00846456,2.41922e+09,0.0778817
47,470,2.18405e+09,0.0431744,2.41922e+09,0.112468
48,480,2.18405e+09,0.0185636,2.41922e+09,0.103101
49,490,2.18405e+09,0.0173605,2.41922e+09,0.0910942
50,500,2.18405e+09,0.0523855,2.41641e+09,0.0633001
51,510,2.18405e+09,0.0392823,2.4133e+09,0.115442
52,520,2.09341e+09,0.0466983,2.40424e+09,0.0983547
53,530,2.09341e+09,0.0466213,2.40424e+09,0.0801382
54,540,2.09341e+09,0.0296383,2.39372e+09,0.0603289
55,550,2.09341e+09,0.0153279,2.39372e+09,0.0918923
56,560,2.09341e+09,0.0805836,2.39372e+09,0.0793185
57,570,2.09341e+09,0.0191621,2.39372e+09,0.0963488
58,580,2.09341e+09,0.070478,2.39372e+09,0.10398
59,590,2.09341e+09,0.0567981,2.39372e+09,0.116658
60,600,2.09341e+09,0.0555477,2.39372e+09,0.0675562
61,610,2.09341e+09,0.0477117,2.39372e+09,0.0930289
62,620,2.09341e+09,0.0364037,2.39372e+09,0.0654791
63,630,2.09341e+09,0.0502387,2.39372e+09,0.125888
64,640,2.09341e+09,0.0176426,2.39372e+09,0.0788876
65,650,2.09341e+09,0.0347351,2.39372e+09,0.0883065
66,660,2.09341e+09,0.0212162,2.39372e+09,0.0606868
67,670,2.09341e+09,0.0235958,2.38905e+09,0.0830951
68,680,2.09341e+09,0.0118003,2.38905e+09,0.075831
69,690,2.09341e+09,0.0173038,2.38905e+09,0.0520426
70,700,2.09341e+09,0.0148452,2.3859e+09,0.0527733
71,710,2.09341e+09,0.017587,2.3859e+09,0.0584932
72,720,2.09341e+09,0.0150516,2.3859e+09,0.0577689
73,730,2.09341e+09,0.0226585,2.3859e+09,0.0494835
74,740,2.09341e+09,0.0132037,2.3859e+09,0.0555561
75,750,2.09341e+09,0.044161,2.3859e+09,0.0820432
76,760,2.09341e+09,0.0199918,2.3859e+09,0.0834751
77,770,2.09341e+09,0.0416591,2.3859e+09,0.0755582
78,780,2.09341e+09,0.0453417,2.3859e+09,0.075577
79,790,2.09341e+09,0.0212518,2.38301e+09,0.0586204
80,800,2.09341e+09,0.0901682,2.38147e+09,0.0839463
81,810,2.09341e+09,0.045286,2.38147e+09,0.086657
82,820,2.09341e+09,0.0645562,2.37178e+09,0.0509748
83,830,2.09341e+09,0.0160399,2.37178e+09,0.048058
84,840,2.09341e+09,0.0328121,2.37178e+09,0.0597925
85,850,2.09341e+09,0.0593276,2.37178e+09,0.0795569
86,860,2.09341e+09,0.0302199,2.37178e+09,0.0585969
87,870,2.09341e+09,0.0576349,2.37125e+09,0.0470328
88,880,2.09341e+09,0.009994,2.36824e+09,0.0540622
89,890,2.09341e+09,0.0833806,2.365e+09,0.0785663
90,900,2.09341e+09,0.0273588,2.36139e+09,0.0698012
91,910,2.09341e+09,0.0468662,2.35913e+09,0.0513713
92,920,2.09341e+09,0.0609592,2.35913e+09,0.0434757
93,930,2.09341e+09,0.0462598,2.35913e+09,0.0666594
94,940,2.09341e+09,0.0363088,2.35913e+09,0.0664842
95,950,2.09341e+09,0.0229165,2.35913e+09,0.0765598
96,960,2.09341e+09,0.0481342,2.35913e+09,0.0295305
97,970,2.09341e+09,0.0229619,2.35913e+09,0.0532248
98,980,2.09341e+09,0.0306758,2.35913e+09,0.0414855
99,990,2.09341e+09,0.0202055,2.35913e+09,0.0593854
100,1000,2.09341e+09,0.0271637,2.35913e+09,0.0503369
101,1010,2.09341e+09,0.0335663,2.35913e+09,0.0428424
102,1020,2.09341e+09,0.0113463,2.3559e+09,0.0328804
103,1030,2.09341e+09,0.0133786,2.3559e+09,0.0370866
104,1040,2.09341e+09,0.0240617,2.34267e+09,0.0415228
105,1050,2.09341e+09,0.0245215,2.34267e+09,0.0443987
106,1060,2.09341e+09,0.0161302,2.34267e+09,0.0382319
107,1070,2.09341e+09,0.0237739,2.34267e+09,0.0387307
108,1080,2.09341e+09,0.0193164,2.34267e+09,0.0426882
109,1090,2.09341e+09,0.0118401,2.34267e+09,0.0459574
110,1100,2.09341e+09,0.0174459,2.34267e+09,0.0425029
111,1110,2.09341e+09,0.0192222,2.34267e+09,0.0356564
112,1120,2.09341e+09,0.0214654,2.34267e+09,0.0528536
113,1130,2.09341e+09,0.0262494,2.34267e+09,0.045866
114,1140,2.09341e+09,0.0376362,2.34267e+09,0.0430027
115,1150,2.09341e+09,0.0288971,2.34267e+09,0.0364325
116,1160,2.09341e+09,0.0458226,2.34267e+09,0.0584955
117,1170,2.09341e+09,0.0319738,2.34267e+09,0.0445298
118,1180,2.09341e+09,0.0195615,2.34267e+09,0.043954
119,1190,2.09341e+09,0.0143839,2.34267e+09,0.0361956
120,1200,2.09341e+09,0.0302566,2.34267e+09,0.0478672
121,1210,2.09341e+09,0.0217583,2.34267e+09,0.0450109
122,1220,2.09341e+09,0.0213585,2.34267e+09,0.0319232
123,1230,2.09341e+09,0.0180587,2.34267e+09,0.0389407
124,1240,2.09341e+09,0.011548,2.34267e+09,0.0349386
125,1250,2.09341e+09,0.0202159,2.34267e+09,0.0384265
126,1260,2.09341e+09,0.00918463,2.34267e+09,0.0393416
127,1270,2.09341e+09,0.0222494,2.33798e+09,0.044064
128,1280,2.09341e+09,0.0181107,2.33798e+09,0.0388913
129,1290,2.09341e+09,0.0170928,2.33798e+09,0.0448035
130,1300,2.09341e+09,0.0277903,2.33798e+09,0.046749
131,1310,2.09341e+09,0.0129931,2.33798e+09,0.0498445
132,1320,2.09341e+09,0.0220082,2.33798e+09,0.0446478
133,1330,2.09341e+09,0.0226489,2.33798e+09,0.0400162
134,1340,2.09341e+09,0.0227158,2.33798e+09,0.0377541
135,1350,2.09341e+09,0.0186114,2.33798e+09,0.0505895
136,1360,2.09341e+09,0.020553,2.33798e+09,0.0285579
137,1370,2.09341e+09,0.0144565,2.33798e+09,0.0298685
138,1380,2.09341e+09,0.0184382,2.33798e+09,0.0309939
139,1390,2.09341e+09,0.0167521,2.33798e+09,0.0489972
140,1400,2.09341e+09,0.0137067,2.33798e+09,0.0422176
141,1410,2.09341e+09,0.0164938,2.33798e+09,0.027369
142,1420,2.09341e+09,0.0133521,2.33798e+09,0.027646
143,1430,2.09341e+09,0.0098289,2.33798e+09,0.0356403
144,1440,2.09341e+09,0.00736025,2.33798e+09,0.0332213
145,1450,2.09341e+09,0.0128555,2.33415e+09,0.0320853
146,1460,2.09341e+09,0.0144117,2.33415e+09,0.0434185
147,1470,2.09341e+09,0.0140741,2.33415e+09,0.0342124
148,1480,2.09341e+09,0.00631486,2.33415e+09,0.0410523
149,1490,2.09341e+09,0.00656759,2.33415e+09,0.0383756
150,1500,2.09341e+09,0.0113358,2.33415e+09,0.0290112
151,1510,2.09341e+09,0.0118952,2.33415e+09,0.0474986
152,1520,2.09341e+09,0.0187118,2.33415e+09,0.0366867
153,1530,2.09341e+09,0.0151468,2.33415e+09,0.0445998
154,1540,2.09341e+09,0.0181228,2.33415e+09,0.0549293
155,1550,2.09341e+09,0.0229559,2.33014e+09,0.0445031
156,1560,2.09341e+09,0.0139117,2.33014e+09,0.0482388
157,1570,2.09341e+09,0.0174851,2.33014e+09,0.0453849
158,1580,2.09341e+09,0.0127835,2.33014e+09,0.0613735
159,1590,2.09341e+09,0.0235771,2.33014e+09,0.0507488
160,1600,2.09341e+09,0.0139888,2.33014e+09,0.0486156
161,1610,2.09341e+09,0.0363732,2.33014e+09,0.05734
162,1620,2.09341e+09,0.0246646,2.33014e+09,0.0795797
163,1630,2.09341e+09,0.0105993,2.33014e+09,0.0714086
164,1640,2.09341e+09,0.0144575,2.32771e+09,0.0609405
165,1650,2.09341e+09,0.0530411,2.32771e+09,0.058293
166,1660,2.09341e+09,0.0331199,2.32771e+09,0.0237916
167,1670,2.09341e+09,0.0349604,2.32771e+09,0.0484711
168,1680,2.09341e+09,0.0284935,2.32771e+09,0.0453191
169,1690,2.09341e+09,0.0199928,2.32771e+09,0.043071
170,1700,2.09341e+09,0.0207637,2.32771e+09,0.0528949
171,1710,2.09341e+09,0.00920659,2.32771e+09,0.0481498
172,1720,2.09341e+09,0.0608842,2.32771e+09,0.0465793
173,1730,2.09341e+09,0.0220115,2.32771e+09,0.0523504
174,1740,2.09341e+09,0.047462,2.32771e+09,0.0548245
175,1750,2.09341e+09,0.0245334,2.32771e+09,0.0481684
176,1760,2.09341e+09,0.0240626,2.32073e+09,0.038754
177,1770,2.09341e+09,0.0199195,2.32073e+09,0.0506629
178,1780,2.09341e+09,0.0292945,2.32073e+09,0.0519845
179,1790,2.09341e+09,0.00771743,2.32073e+09,0.0448615
180,1800,2.09341e+09,0.0255641,2.32073e+09,0.053154
181,1810,2.09341e+09,0.00990153,2.32073e+09,0.0444613
182,1820,2.09341e+09,0.0242177,2.32073e+09,0.0417458
183,1830,2.09341e+09,0.0164555,2.32073e+09,0.0403898
184,1840,2.09341e+09,0.0337923,2.32073e+09,0.0368901
185,1850,2.09341e+09,0.0252894,2.32073e+09,0.0428984
186,1860,2.09341e+09,0.0528211,2.32073e+09,0.0336495
187,1870,2.09341e+09,0.0364371,2.32073e+09,0.0445434
188,1880,2.09341e+09,0.0411325,2.32073e+09,0.0515395
189,1890,2.09341e+09,0.040559,2.32073e+09,0.0407895
190,1900,2.09341e+09,0.0352983,2.31437e+09,0.0467455
191,1910,2.09341e+09,0.0143228,2.31437e+09,0.0565198
192,1920,2.09341e+09,0.0210182,2.31437e+09,0.0368343
193,1930,2.09341e+09,0.0158793,2.31437e+09,0.0396826
194,1940,2.09341e+09,0.00876582,2.31437e+09,0.0440085
195,1950,2.09341e+09,0.035561,2.31437e+09,0.038521
196,1960,2.09341e+09,0.00517607,2.31437e+09,0.0565932
197,1970,2.09341e+09,0.0264248,2.31437e+09,0.0513974
198,1980,2.09341e+09,0.0310122,2.31437e+09,0.0376598
199,1990,2.09341e+09,0.037893,2.31437e+09,0.0469621
200,2000,2.09341e+09,0.01895,2.31437e+09,0.0224775
201,2010,2.09341e+09,0.0192274,2.31437e+09,0.0373731
202,2020,2.09341e+09,0.0178245,2.31437e+09,0.0361178
203,2030,2.09341e+09,0.0282848,2.31437e+09,0.04375
204,2040,2.09341e+09,0.02585,2.31437e+09,0.0395068
205,2050,2.09341e+09,0.01837,2.31437e+09,0.0354374
206,2060,2.09341e+09,0.0217761,2.31437e+09,0.033128
207,2070,2.09341e+09,0.0217174,2.31437e+09,0.0285986
208,2080,2.09341e+09,0.0215837,2.31437e+09,0.0475078
209,2090,2.09341e+09,0.0137427,2.31437e+09,0.0324471
210,2100,2.09341e+09,0.040017,2.31437e+09,0.0287251
211,2110,2.09341e+09,0.0192139,2.31437e+09,0.045657
212,2120,2.09341e+09,0.0235933,2.31437e+09,0.0440735
213,2130,2.09341e+09,0.0272953,2.31437e+09,0.0347269
214,2140,2.09341e+09,0.0225035,2.31437e+09,0.0397823
215,2150,2.09341e+09,0.0212531,2.31437e+09,0.0259045
216,2160,2.09341e+09,0.00610737,2.31437e+09,0.035729
217,2170,2.09341e+09,0.00760256,2.31437e+09,0.0436288
218,2180,2.09341e+09,0.00872696,2.31437e+09,0.0266488
219,2190,2.09341e+09,0.00822668,2.31437e+09,0.0226756
220,2200,2.09341e+09,0.00716578,2.31437e+09,0.0281218
221,2210,2.09341e+09,0.00867535,2.31437e+09,0.024838
222,2220,2.09341e+09,0.0088822,2.31437e+09,0.0313036
223,2230,2.09341e+09,0.0133593,2.31437e+09,0.0253223
224,2240,2.09341e+09,0.00676934,2.31437e+09,0.0274314
225,2250,2.09341e+09,0.0169545,2.31437e+09,0.0341362
226,2260,2.09341e+09,0.0251781,2.31437e+09,0.0375691
227,2270,2.09341e+09,0.0183698,2.31437e+09,0.0380773
228,2280,2.09341e+09,0.0179559,2.31437e+09,0.047905
229,2290,2.09341e+09,0.0166994,2.31437e+09,0.0673317
230,2300,2.09341e+09,0.0186787,2.31437e+09,0.0642451
231,2310,2.09341e+09,0.0149039,2.31437e+09,0.037016
232,2320,2.09341e+09,0.0178917,2.31437e+09,0.0533283
233,2330,2.09341e+09,0.0143904,2.31437e+09,0.0492331
234,2340,2.09341e+09,0.00942599,2.31437e+09,0.0388349
235,2350,2.09341e+09,0.0104636,2.31437e+09,0.037046
236,2360,2.09341e+09,0.0170989,2.31437e+09,0.0543602
237,2370,2.09341e+09,0.0227906,2.31437e+09,0.0519742
238,2380,2.09341e+09,0.0164222,2.31437e+09,0.0528958
239,2390,2.09341e+09,0.0108085,2.31437e+09,0.0479048
240,2400,2.09341e+09,0.0187713,2.31437e+09,0.042839
241,2410,2.09341e+09,0.014171,2.31437e+09,0.0532781
242,2420,2.09341e+09,0.0149323,2.31437e+09,0.0586638
243,2430,2.09341e+09,0.0157064,2.31437e+09,0.0446809
244,2440,2.09341e+09,0.0213089,2.30366e+09,0.0522949
245,2450,2.09341e+09,0.0217445,2.30366e+09,0.0359079
246,2460,2.09341e+09,0.00652511,2.30366e+09,0.0356065
247,2470,2.09341e+09,0.0213907,2.30366e+09,0.0341105
248,2480,2.09341e+09,0.0173472,2.30366e+09,0.0404389
249,2490,2.09341e+09,0.0106752,2.30366e+09,0.0423973
250,2500,2.09341e+09,0.0143173,2.30366e+09,0.0306697
251,2510,2.09341e+09,0.0271089,2.29842e+09,0.0445501
