Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,8.08816e+12,0.443567,1.2345e+13,0.710189
2,20,8.08816e+12,0.327924,1.17681e+13,0.640521
3,30,7.31919e+12,0.134007,1.08432e+13,0.711506
4,40,7.08373e+12,0.25466,1.02528e+13,0.890674
5,50,3.37524e+12,0.170569,9.16102e+12,1.0422
6,60,3.37524e+12,0.298182,8.5512e+12,0.859851
7,70,3.37524e+12,0.0535132,7.41926e+12,0.838453
8,80,3.37524e+12,0.205177,6.94308e+12,0.848683
9,90,3.37524e+12,0.0465999,6.52662e+12,0.701632
10,100,3.37524e+12,0.0251168,6.52662e+12,0.823766
11,110,3.37524e+12,0.142173,6.52662e+12,0.847553
12,120,3.37524e+12,0.132968,6.20312e+12,0.82289
13,130,3.37524e+12,0.0424356,6.11094e+12,0.775775
14,140,3.37524e+12,0.137417,5.88609e+12,0.790871
15,150,3.37524e+12,0.0460808,5.88609e+12,0.817092
16,160,3.10276e+12,0.124347,5.68198e+12,0.717791
17,170,3.10276e+12,0.0269554,5.4575e+12,0.74609
18,180,3.10276e+12,0.140694,5.22745e+12,0.717525
19,190,3.10276e+12,0.0259671,5.22745e+12,0.537668
20,200,3.10276e+12,0.147928,5.22745e+12,0.594507
21,210,3.10276e+12,0.0741451,5.22745e+12,0.536658
22,220,3.10276e+12,0.0486811,5.17291e+12,0.506141
23,230,3.10276e+12,0.0951261,5.17291e+12,0.586365
24,240,3.10276e+12,0.114877,5.06613e+12,0.728319
25,250,3.10276e+12,0.131759,5.00346e+12,0.668623
26,260,3.10276e+12,0.0981319,5.00346e+12,0.558342
27,270,3.10276e+12,0.104083,5.00346e+12,0.553502
28,280,3.10276e+12,0.122725,4.80484e+12,0.64331
29,290,3.10276e+12,0.160932,4.80484e+12,0.60244
30,300,3.10276e+12,0.0612794,4.80484e+12,0.550969
31,310,3.10276e+12,0.209095,4.80484e+12,0.512459
32,320,3.10276e+12,0.139783,4.80484e+12,0.550438
33,330,3.10276e+12,0.148923,4.80484e+12,0.679313
34,340,3.10276e+12,0.0566302,4.80484e+12,0.49119
35,350,3.10276e+12,0.115132,4.72276e+12,0.512875
36,360,3.10276e+12,0.0395211,4.72276e+12,0.569143
37,370,3.10276e+12,0.0333923,4.72276e+12,0.635893
38,380,3.10276e+12,0.0884067,4.57404e+12,0.666389
39,390,3.10276e+12,0.0456527,4.57404e+12,0.667598
40,400,3.10276e+12,0.114153,4.57404e+12,0.652919
41,410,3.10276e+12,0.015443,4.57404e+12,0.635566
42,420,3.10276e+12,0.0432501,4.57404e+12,0.620449
43,430,3.10276e+12,0.0440491,4.54289e+12,0.655049
44,440,3.10276e+12,0.0614173,4.54289e+12,0.637904
45,450,3.10276e+12,0.0181852,4.51932e+12,0.498703
46,460,3.10276e+12,0.082568,4.51932e+12,0.585469
47,470,3.10276e+12,0.0290347,4.48312e+12,0.517813
48,480,3.10276e+12,0.0212779,4.48312e+12,0.431528
49,490,3.10276e+12,0.0394237,4.48312e+12,0.589732
50,500,3.10276e+12,0.0125874,4.48312e+12,0.622705
51,510,3.10276e+12,0.0478736,4.48312e+12,0.559792
52,520,3.10276e+12,0.030708,4.48312e+12,0.501481
53,530,3.10276e+12,0.0290247,4.48312e+12,0.566302
54,540,3.10276e+12,0.0219654,4.48312e+12,0.501721
55,550,3.10276e+12,0.0434273,4.48312e+12,0.472862
56,560,3.10276e+12,0.0124406,4.48312e+12,0.550685
57,570,3.10276e+12,0.0416879,4.48312e+12,0.642946
58,580,3.10276e+12,0.0340342,4.48312e+12,0.595043
59,590,3.10276e+12,0.0277694,4.48312e+12,0.441342
60,600,3.10276e+12,0.0218922,4.48312e+12,0.564941
61,610,3.10276e+12,0.0698254,4.48312e+12,0.658997
62,620,3.10276e+12,0.0187745,4.48312e+12,0.563102
63,630,3.10276e+12,0.0371703,4.48312e+12,0.381983
64,640,3.10276e+12,0.0198967,4.4583e+12,0.589431
65,650,3.10276e+12,0.0208401,4.4583e+12,0.647664
66,660,3.10276e+12,0.0192602,4.4583e+12,0.557312
67,670,3.10276e+12,0.0117856,4.4583e+12,0.508594
68,680,3.10276e+12,0.0207342,4.4583e+12,0.560142
69,690,3.10276e+12,0.0242221,4.4583e+12,0.602635
70,700,3.10276e+12,0.0225309,4.4583e+12,0.555491
71,710,3.10276e+12,0.0510127,4.2181e+12,0.434328
72,720,3.10276e+12,0.045046,4.20595e+12,0.372039
73,730,3.10276e+12,0.0106299,4.20595e+12,0.431108
74,740,3.10276e+12,0.0547616,4.08916e+12,0.515354
75,750,3.10276e+12,0.0283732,4.08916e+12,0.406092
76,760,3.10276e+12,0.0133841,4.08916e+12,0.462793
77,770,3.10276e+12,0.0594463,4.08916e+12,0.503702
78,780,3.10276e+12,0.0292848,4.08916e+12,0.519407
79,790,3.10276e+12,0.0424453,4.08916e+12,0.526918
80,800,3.10276e+12,0.0177044,4.08916e+12,0.445403
81,810,3.10276e+12,0.0343644,4.08916e+12,0.461604
82,820,3.10276e+12,0.0229789,4.08916e+12,0.551791
83,830,3.10276e+12,0.0160464,4.08916e+12,0.492363
84,840,3.10276e+12,0.0184293,4.08916e+12,0.607236
85,850,3.10276e+12,0.0143336,4.08916e+12,0.400702
86,860,3.10276e+12,0.0218584,4.08916e+12,0.407698
87,870,3.10276e+12,0.0162135,4.04676e+12,0.475623
88,880,3.10276e+12,0.0175856,4.04676e+12,0.486455
89,890,3.10276e+12,0.0303566,4.04676e+12,0.49102
90,900,3.10276e+12,0.0333627,4.04676e+12,0.480432
91,910,3.10276e+12,0.0523069,4.04676e+12,0.485122
92,920,3.10276e+12,0.0242697,4.04676e+12,0.502912
93,930,3.10276e+12,0.064742,4.02069e+12,0.395878
94,940,3.10276e+12,0.0545062,4.02069e+12,0.384573
95,950,3.10276e+12,0.0363626,3.96459e+12,0.44432
96,960,3.10276e+12,0.0843738,3.96459e+12,0.548573
97,970,3.10276e+12,0.0710821,3.96459e+12,0.400867
98,980,3.10276e+12,0.0445107,3.96459e+12,0.452597
99,990,3.10276e+12,0.028184,3.95986e+12,0.469912
100,1000,3.10276e+12,0.0408217,3.95986e+12,0.563286
101,1010,3.10276e+12,0.0240737,3.95986e+12,0.398827
102,1020,3.10276e+12,0.0627206,3.95986e+12,0.440591
103,1030,3.10276e+12,0.0268617,3.95986e+12,0.422848
104,1040,3.10276e+12,0.0575215,3.95986e+12,0.455527
105,1050,3.10276e+12,0.0630085,3.95986e+12,0.451382
106,1060,3.10276e+12,0.085867,3.95986e+12,0.351461
107,1070,3.10276e+12,0.0134867,3.95986e+12,0.399062
108,1080,3.10276e+12,0.0769533,3.93109e+12,0.527067
109,1090,3.10276e+12,0.0407607,3.93109e+12,0.474795
110,1100,3.10276e+12,0.00824983,3.93109e+12,0.481569
111,1110,3.10276e+12,0.0552641,3.93109e+12,0.46393
112,1120,3.10276e+12,0.0304761,3.93109e+12,0.427652
113,1130,3.10276e+12,0.0250124,3.93109e+12,0.442654
114,1140,3.10276e+12,0.0352197,3.93109e+12,0.487215
115,1150,3.10276e+12,0.0180785,3.93109e+12,0.413372
116,1160,3.10276e+12,0.0207081,3.93109e+12,0.455457
117,1170,3.10276e+12,0.0176951,3.93109e+12,0.380713
118,1180,3.10276e+12,0.0269279,3.93109e+12,0.428118
119,1190,3.10276e+12,0.0315761,3.93109e+12,0.359464
120,1200,3.10276e+12,0.023288,3.88114e+12,0.374219
121,1210,3.10276e+12,0.0502925,3.88114e+12,0.496299
122,1220,3.10276e+12,0.0245043,3.88114e+12,0.456299
123,1230,3.10276e+12,0.0403813,3.88114e+12,0.33256
124,1240,3.10276e+12,0.0486055,3.88114e+12,0.37163
125,1250,3.10276e+12,0.062603,3.88114e+12,0.365179
126,1260,3.10276e+12,0.0158495,3.88114e+12,0.495521
127,1270,3.10276e+12,0.0306329,3.88114e+12,0.411071
128,1280,3.10276e+12,0.0159379,3.88114e+12,0.453965
129,1290,3.10276e+12,0.069213,3.88114e+12,0.383836
130,1300,3.10276e+12,0.0511252,3.88114e+12,0.452118
131,1310,3.10276e+12,0.0793719,3.88114e+12,0.415135
132,1320,3.10276e+12,0.0162307,3.86524e+12,0.412103
133,1330,3.10276e+12,0.0688689,3.77125e+12,0.57348
134,1340,3.10276e+12,0.0179292,3.77125e+12,0.474512
135,1350,3.10276e+12,0.118405,3.77125e+12,0.294451
136,1360,3.10276e+12,0.0686396,3.77125e+12,0.339941
137,1370,3.10276e+12,0.0204732,3.77125e+12,0.439114
138,1380,3.10276e+12,0.116314,3.77125e+12,0.524573
139,1390,3.10276e+12,0.0506085,3.77125e+12,0.353471
140,1400,3.10276e+12,0.0718794,3.77125e+12,0.366841
141,1410,3.10276e+12,0.0164914,3.77125e+12,0.403712
142,1420,3.10276e+12,0.0913571,3.77125e+12,0.343263
143,1430,3.10276e+12,0.0427582,3.77125e+12,0.38247
144,1440,3.10276e+12,0.103903,3.77125e+12,0.449203
145,1450,3.10276e+12,0.0619475,3.77125e+12,0.431049
146,1460,3.10276e+12,0.08722,3.77125e+12,0.436612
147,1470,3.10276e+12,0.0624827,3.77125e+12,0.438201
148,1480,3.10276e+12,0.0551366,3.77125e+12,0.441512
149,1490,3.10276e+12,0.0523945,3.77125e+12,0.360336
150,1500,3.10276e+12,0.0967506,3.77125e+12,0.274889
151,1510,3.10276e+12,0.044823,3.77125e+12,0.440986
152,1520,3.10276e+12,0.0106448,3.77125e+12,0.578585
153,1530,3.10276e+12,0.1522,3.77125e+12,0.448077
154,1540,3.10276e+12,0.0406968,3.77125e+12,0.431571
155,1550,3.10276e+12,0.0614471,3.77125e+12,0.325397
156,1560,3.10276e+12,0.0261454,3.77125e+12,0.390607
157,1570,2.8187e+12,0.0827492,3.70456e+12,0.481798
158,1580,2.8187e+12,0.0328863,3.70456e+12,0.558262
159,1590,2.8187e+12,0.0610885,3.70456e+12,0.448407
160,1600,2.8187e+12,0.0386665,3.70456e+12,0.435702
161,1610,2.8187e+12,0.0241811,3.70456e+12,0.528142
162,1620,2.8187e+12,0.0390426,3.70456e+12,0.413739
163,1630,2.8187e+12,0.0196367,3.70456e+12,0.536038
164,1640,2.8187e+12,0.0560758,3.70456e+12,0.458377
165,1650,2.8187e+12,0.0267398,3.70456e+12,0.493768
166,1660,2.8187e+12,0.0255674,3.64166e+12,0.584148
167,1670,2.8187e+12,0.0815954,3.64166e+12,0.441532
168,1680,2.8187e+12,0.0341804,3.64166e+12,0.552405
169,1690,2.8187e+12,0.0528508,3.64166e+12,0.409144
170,1700,2.8187e+12,0.063392,3.64166e+12,0.454213
171,1710,2.8187e+12,0.0254523,3.64166e+12,0.567097
172,1720,2.8187e+12,0.0805885,3.64166e+12,0.52041
173,1730,2.8187e+12,0.0156939,3.64166e+12,0.557269
174,1740,2.8187e+12,0.0384659,3.64166e+12,0.510233
175,1750,2.8187e+12,0.0641751,3.64166e+12,0.530767
176,1760,2.8187e+12,0.0595137,3.64166e+12,0.392645
177,1770,2.8187e+12,0.0243357,3.64166e+12,0.452967
178,1780,2.8187e+12,0.0549084,3.64166e+12,0.570029
179,1790,2.8187e+12,0.0244386,3.64166e+12,0.528108
180,1800,2.8187e+12,0.0259615,3.64166e+12,0.4101
181,1810,2.8187e+12,0.0391252,3.64166e+12,0.411948
182,1820,2.8187e+12,0.0572297,3.64166e+12,0.466277
183,1830,2.8187e+12,0.0691788,3.64166e+12,0.656109
184,1840,2.8187e+12,0.0179249,3.64166e+12,0.514366
185,1850,2.8187e+12,0.0512208,3.64166e+12,0.363237
