Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,5.22385e+12,0.369532,5.57705e+12,0.905018
2,20,5.20049e+12,0.136949,5.49765e+12,1.01274
3,30,5.20049e+12,0.169774,5.42887e+12,1.10373
4,40,4.29017e+12,0.423675,5.30142e+12,0.976367
5,50,4.29017e+12,0.269569,5.22364e+12,0.820688
6,60,4.29017e+12,0.280008,5.1596e+12,0.827096
7,70,4.29017e+12,0.20268,5.1596e+12,0.758544
8,80,4.29017e+12,0.169845,5.09704e+12,0.812671
9,90,4.29017e+12,0.173354,5.07054e+12,0.857422
10,100,4.29017e+12,0.30522,5.07054e+12,0.697697
11,110,4.29017e+12,0.215369,5.07054e+12,0.662912
12,120,4.29017e+12,0.210368,5.00664e+12,0.741455
13,130,4.29017e+12,0.0692649,4.97408e+12,0.894228
14,140,4.29017e+12,0.225995,4.97408e+12,0.757157
15,150,4.29017e+12,0.119619,4.95329e+12,0.714165
16,160,4.29017e+12,0.16458,4.90032e+12,0.658219
17,170,4.29017e+12,0.119511,4.83555e+12,0.638257
18,180,4.29017e+12,0.129706,4.75966e+12,0.66429
19,190,4.29017e+12,0.264712,4.75966e+12,0.675652
20,200,4.29017e+12,0.183311,4.75966e+12,0.733882
21,210,4.29017e+12,0.153708,4.75966e+12,0.643846
22,220,4.29017e+12,0.108493,4.72524e+12,0.617286
23,230,4.29017e+12,0.198202,4.72524e+12,0.664903
24,240,4.29017e+12,0.0988936,4.66424e+12,0.65963
25,250,4.29017e+12,0.162481,4.66424e+12,0.686356
26,260,4.29017e+12,0.126983,4.66424e+12,0.631956
27,270,4.29017e+12,0.0873763,4.66424e+12,0.580433
28,280,4.29017e+12,0.0889986,4.66424e+12,0.67024
29,290,4.29017e+12,0.118588,4.66424e+12,0.646545
30,300,4.29017e+12,0.10785,4.66424e+12,0.626317
31,310,4.29017e+12,0.0861728,4.66424e+12,0.653637
32,320,4.29017e+12,0.124029,4.66424e+12,0.599401
33,330,4.29017e+12,0.108954,4.64981e+12,0.677733
34,340,4.29017e+12,0.146761,4.64981e+12,0.682078
35,350,4.29017e+12,0.0975572,4.64981e+12,0.669851
36,360,4.29017e+12,0.100176,4.64981e+12,0.639084
37,370,4.29017e+12,0.0948928,4.64981e+12,0.710284
38,380,4.29017e+12,0.062111,4.64981e+12,0.736777
39,390,4.29017e+12,0.122221,4.61989e+12,0.688307
40,400,4.17989e+12,0.0656462,4.52958e+12,0.626921
41,410,4.17989e+12,0.213003,4.52958e+12,0.778284
42,420,4.17989e+12,0.141957,4.52958e+12,0.804655
43,430,4.17989e+12,0.0711739,4.52958e+12,0.729936
44,440,4.17989e+12,0.176586,4.52958e+12,0.682969
45,450,4.17989e+12,0.145036,4.52958e+12,0.634922
46,460,4.17989e+12,0.0842754,4.52958e+12,0.739564
47,470,4.17989e+12,0.0782608,4.52958e+12,0.675375
48,480,4.17989e+12,0.0928504,4.52958e+12,0.711694
49,490,4.17989e+12,0.0640669,4.50939e+12,0.674259
50,500,4.17989e+12,0.137773,4.50939e+12,0.707697
51,510,4.17989e+12,0.137713,4.48131e+12,0.73857
52,520,4.17989e+12,0.197956,4.48131e+12,0.67167
53,530,4.17989e+12,0.152989,4.48131e+12,0.69352
54,540,4.17989e+12,0.12254,4.48131e+12,0.758467
55,550,4.17989e+12,0.103802,4.48131e+12,0.700929
56,560,4.17989e+12,0.14917,4.48131e+12,0.674241
57,570,4.17989e+12,0.17713,4.48131e+12,0.629781
58,580,4.17989e+12,0.0777397,4.48131e+12,0.730453
59,590,4.17989e+12,0.180378,4.4723e+12,0.675163
60,600,4.17989e+12,0.16388,4.4723e+12,0.774309
61,610,4.17989e+12,0.124792,4.4723e+12,0.756206
62,620,4.17989e+12,0.190402,4.46533e+12,0.724715
63,630,4.17989e+12,0.142231,4.46533e+12,0.669151
64,640,4.17989e+12,0.157326,4.42166e+12,0.551828
65,650,4.17989e+12,0.0878479,4.42166e+12,0.711462
66,660,4.17989e+12,0.139782,4.42166e+12,0.778057
67,670,4.17989e+12,0.105556,4.42166e+12,0.655933
68,680,4.17989e+12,0.0781651,4.42166e+12,0.588272
69,690,4.17989e+12,0.0872307,4.42166e+12,0.67631
70,700,4.17989e+12,0.0754716,4.42166e+12,0.733385
71,710,4.17989e+12,0.106831,4.42166e+12,0.714663
72,720,4.17989e+12,0.0481724,4.42166e+12,0.697663
73,730,4.17989e+12,0.114002,4.42166e+12,0.635608
74,740,4.17989e+12,0.107492,4.42166e+12,0.718023
75,750,4.17989e+12,0.133015,4.42166e+12,0.703771
76,760,4.17989e+12,0.0852467,4.42166e+12,0.681622
77,770,4.17989e+12,0.127224,4.42166e+12,0.673042
78,780,4.17989e+12,0.107173,4.42166e+12,0.696566
79,790,4.17989e+12,0.136993,4.42166e+12,0.658384
80,800,4.17989e+12,0.0861354,4.42166e+12,0.766713
81,810,4.17989e+12,0.0824763,4.4164e+12,0.724214
82,820,4.17989e+12,0.114267,4.4164e+12,0.642426
83,830,4.17989e+12,0.147033,4.4164e+12,0.679719
84,840,4.17989e+12,0.13173,4.4164e+12,0.672874
85,850,4.17989e+12,0.10678,4.4164e+12,0.737369
86,860,4.17989e+12,0.0895213,4.4164e+12,0.641329
87,870,4.17989e+12,0.0996119,4.41545e+12,0.591654
88,880,4.17989e+12,0.0792396,4.41545e+12,0.653665
89,890,4.17989e+12,0.05614,4.41545e+12,0.690954
90,900,4.17989e+12,0.0766139,4.41545e+12,0.621321
91,910,4.17989e+12,0.0509426,4.38955e+12,0.64372
92,920,4.17989e+12,0.0647286,4.38955e+12,0.665323
93,930,4.17989e+12,0.0775013,4.38955e+12,0.647382
94,940,4.17989e+12,0.0317926,4.38955e+12,0.649982
95,950,4.17989e+12,0.0598042,4.38955e+12,0.651486
96,960,3.82359e+12,0.0615099,4.30655e+12,0.61996
97,970,3.82359e+12,0.119804,4.30655e+12,0.690226
98,980,3.82359e+12,0.079914,4.30655e+12,0.674534
99,990,3.82359e+12,0.121031,4.30655e+12,0.585185
100,1000,3.82359e+12,0.0699587,4.30655e+12,0.709266
101,1010,3.82359e+12,0.147792,4.30655e+12,0.631576
102,1020,3.82359e+12,0.073672,4.30655e+12,0.754918
103,1030,3.82359e+12,0.0481961,4.30655e+12,0.548441
104,1040,3.82359e+12,0.0718987,4.30655e+12,0.584927
105,1050,3.82359e+12,0.0707596,4.30655e+12,0.64242
106,1060,3.82359e+12,0.0914803,4.30655e+12,0.583141
107,1070,3.82359e+12,0.0758596,4.30655e+12,0.57554
108,1080,3.82359e+12,0.11589,4.30655e+12,0.661355
109,1090,3.82359e+12,0.080333,4.30655e+12,0.673456
110,1100,3.82359e+12,0.133005,4.30655e+12,0.711399
111,1110,3.82359e+12,0.0932989,4.30655e+12,0.529443
112,1120,3.82359e+12,0.0939029,4.27279e+12,0.558189
113,1130,3.82359e+12,0.114819,4.27279e+12,0.558229
114,1140,3.82359e+12,0.0701303,4.27279e+12,0.63
115,1150,3.82359e+12,0.120779,4.27279e+12,0.618384
116,1160,3.82359e+12,0.0473589,4.27279e+12,0.618814
117,1170,3.82359e+12,0.132203,4.27279e+12,0.610898
118,1180,3.82359e+12,0.0900599,4.27279e+12,0.627312
119,1190,3.82359e+12,0.104538,4.27279e+12,0.602639
120,1200,3.82359e+12,0.0524905,4.27279e+12,0.58652
121,1210,3.82359e+12,0.0683893,4.27279e+12,0.66169
122,1220,3.82359e+12,0.0958456,4.27279e+12,0.604737
123,1230,3.82359e+12,0.0853043,4.27279e+12,0.644761
124,1240,3.82359e+12,0.0713409,4.27279e+12,0.610299
125,1250,3.82359e+12,0.121321,4.27279e+12,0.567542
126,1260,3.82359e+12,0.0427882,4.27279e+12,0.630644
127,1270,3.82359e+12,0.0687188,4.2644e+12,0.643956
128,1280,3.82359e+12,0.0517945,4.2644e+12,0.587663
129,1290,3.82359e+12,0.0671231,4.2644e+12,0.587843
130,1300,3.82359e+12,0.0499394,4.2644e+12,0.641144
131,1310,3.82359e+12,0.0883997,4.2644e+12,0.614732
132,1320,3.82359e+12,0.0676744,4.2644e+12,0.578868
133,1330,3.82359e+12,0.0670789,4.2644e+12,0.530745
134,1340,3.82359e+12,0.0973943,4.2644e+12,0.636971
135,1350,3.82359e+12,0.0685358,4.2644e+12,0.67756
