Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,5.38229e+08,0.337106,6.45502e+08,0.660211
2,20,4.26024e+08,0.425228,5.74727e+08,0.491566
3,30,4.26024e+08,0.444491,5.74727e+08,0.470517
4,40,4.26024e+08,0.348553,5.55915e+08,0.508715
5,50,4.26024e+08,0.375053,5.46818e+08,0.486161
6,60,4.26024e+08,0.139664,5.37895e+08,0.380713
7,70,4.26024e+08,0.323124,5.17525e+08,0.273915
8,80,4.26024e+08,0.193208,5.1608e+08,0.300186
9,90,4.26024e+08,0.323289,5.1608e+08,0.316964
10,100,4.26024e+08,0.209535,5.1211e+08,0.330795
11,110,4.26024e+08,0.240019,5.08186e+08,0.38691
12,120,4.26024e+08,0.410946,5.08186e+08,0.153767
13,130,4.26024e+08,0.026815,4.98433e+08,0.255526
14,140,4.26024e+08,0.429235,4.98433e+08,0.319144
15,150,4.26024e+08,0.306246,4.98433e+08,0.434345
16,160,4.26024e+08,0.233345,4.95452e+08,0.27114
17,170,3.27799e+08,0.203574,4.66606e+08,0.248509
18,180,3.27799e+08,0.176319,4.66606e+08,0.276512
19,190,3.27799e+08,0.191591,4.65704e+08,0.321836
20,200,3.27799e+08,0.324196,4.65704e+08,0.26408
21,210,3.27799e+08,0.24391,4.65704e+08,0.31401
22,220,3.27799e+08,0.356778,4.65704e+08,0.257845
23,230,3.27799e+08,0.0613052,4.65704e+08,0.3485
24,240,3.27799e+08,0.243725,4.64017e+08,0.234826
25,250,3.27799e+08,0.264318,4.61664e+08,0.178259
26,260,3.27799e+08,0.0435558,4.61664e+08,0.194588
27,270,3.27799e+08,0.219011,4.61534e+08,0.225347
28,280,3.27799e+08,0.229766,4.61534e+08,0.337591
29,290,3.27799e+08,0.29647,4.55916e+08,0.271243
30,300,3.27799e+08,0.251671,4.47966e+08,0.301682
31,310,3.27799e+08,0.220683,4.47966e+08,0.22963
32,320,3.27799e+08,0.243804,4.47966e+08,0.199643
33,330,3.27799e+08,0.287245,4.47966e+08,0.287088
34,340,3.27799e+08,0.241795,4.47966e+08,0.361077
35,350,3.27799e+08,0.347947,4.47966e+08,0.245542
36,360,3.27799e+08,0.174083,4.47966e+08,0.186052
37,370,3.27799e+08,0.277637,4.47966e+08,0.245046
38,380,3.27799e+08,0.131509,4.38769e+08,0.258549
39,390,3.27799e+08,0.0813147,4.38769e+08,0.289719
40,400,3.27799e+08,0.163197,4.38769e+08,0.225907
41,410,3.27799e+08,0.281358,4.38769e+08,0.293581
42,420,3.27799e+08,0.312812,4.38769e+08,0.248329
43,430,3.27799e+08,0.111098,4.35748e+08,0.211527
44,440,3.27799e+08,0.199575,4.35748e+08,0.194085
45,450,3.27799e+08,0.216559,4.29192e+08,0.188854
46,460,3.1372e+08,0.233412,4.13247e+08,0.258661
47,470,3.1372e+08,0.202923,4.05816e+08,0.24924
48,480,3.1372e+08,0.0828932,4.05816e+08,0.303685
49,490,3.1372e+08,0.0410613,3.97233e+08,0.212911
50,500,3.1372e+08,0.0957929,3.97233e+08,0.202629
51,510,3.1372e+08,0.0676095,3.97233e+08,0.172339
52,520,3.1372e+08,0.128348,3.97233e+08,0.24135
53,530,3.1372e+08,0.0965947,3.94973e+08,0.259768
54,540,3.1372e+08,0.197699,3.94973e+08,0.128363
55,550,3.1372e+08,0.0510481,3.94973e+08,0.134153
56,560,3.1372e+08,0.0920988,3.94973e+08,0.189528
57,570,3.1372e+08,0.0173674,3.94973e+08,0.197011
58,580,3.1372e+08,0.0689159,3.94973e+08,0.214347
59,590,3.1372e+08,0.0945241,3.94973e+08,0.161555
60,600,3.1372e+08,0.0824106,3.87213e+08,0.152273
61,610,3.1372e+08,0.169657,3.87213e+08,0.202932
62,620,3.1372e+08,0.0829144,3.87213e+08,0.178321
63,630,3.1372e+08,0.196204,3.87213e+08,0.0962801
64,640,3.1372e+08,0.183335,3.87213e+08,0.214664
65,650,3.1372e+08,0.0666998,3.87213e+08,0.168723
66,660,3.1372e+08,0.134291,3.87213e+08,0.116908
67,670,3.1372e+08,0.194657,3.87213e+08,0.236475
68,680,3.1372e+08,0.0312166,3.87213e+08,0.211099
69,690,3.1372e+08,0.189599,3.87213e+08,0.128245
70,700,3.1372e+08,0.143464,3.87213e+08,0.169061
71,710,3.1372e+08,0.0995699,3.87213e+08,0.212314
72,720,3.1372e+08,0.10294,3.87213e+08,0.165441
73,730,3.1372e+08,0.0579907,3.87213e+08,0.189892
74,740,3.1372e+08,0.0331059,3.87213e+08,0.180935
75,750,3.1372e+08,0.0792248,3.87213e+08,0.132225
76,760,3.1372e+08,0.142834,3.84268e+08,0.122313
77,770,3.1372e+08,0.137747,3.84268e+08,0.117435
78,780,3.1372e+08,0.154536,3.84268e+08,0.204463
79,790,3.1372e+08,0.166198,3.84268e+08,0.167302
80,800,3.1372e+08,0.0921704,3.84268e+08,0.133509
81,810,3.1372e+08,0.0893051,3.84268e+08,0.155904
82,820,3.1372e+08,0.0419796,3.84268e+08,0.154593
83,830,3.1372e+08,0.0707998,3.84268e+08,0.129795
84,840,3.1372e+08,0.118491,3.84268e+08,0.175378
85,850,3.1372e+08,0.122157,3.84268e+08,0.237118
86,860,3.1372e+08,0.22458,3.84268e+08,0.145285
87,870,3.1372e+08,0.12411,3.80311e+08,0.136154
88,880,3.1372e+08,0.0453964,3.80311e+08,0.169498
89,890,3.1372e+08,0.195023,3.80311e+08,0.184845
90,900,3.1372e+08,0.198998,3.80311e+08,0.283487
91,910,3.1372e+08,0.0550689,3.80311e+08,0.255517
92,920,3.1372e+08,0.205297,3.79956e+08,0.183656
93,930,3.1372e+08,0.151455,3.79956e+08,0.133375
94,940,3.1372e+08,0.18593,3.79956e+08,0.211554
95,950,3.1372e+08,0.0699571,3.79956e+08,0.24703
96,960,3.1372e+08,0.0458454,3.79956e+08,0.231319
97,970,3.1372e+08,0.191241,3.79956e+08,0.156326
98,980,3.1372e+08,0.0557495,3.79956e+08,0.167023
99,990,3.1372e+08,0.10074,3.79956e+08,0.236797
100,1000,3.1372e+08,0.0893474,3.79956e+08,0.221168
101,1010,3.1372e+08,0.188232,3.79956e+08,0.13476
102,1020,3.1372e+08,0.150211,3.79956e+08,0.205187
103,1030,3.1372e+08,0.0759786,3.79956e+08,0.176712
104,1040,3.1372e+08,0.108665,3.79956e+08,0.1417
105,1050,3.1372e+08,0.196385,3.79956e+08,0.213291
106,1060,3.1372e+08,0.130388,3.79956e+08,0.180925
107,1070,3.1372e+08,0.111462,3.79956e+08,0.140479
108,1080,3.1372e+08,0.200588,3.79956e+08,0.205417
109,1090,3.1372e+08,0.148925,3.79956e+08,0.165129
110,1100,3.1372e+08,0.0194696,3.79956e+08,0.158199
111,1110,3.1372e+08,0.0670878,3.79956e+08,0.138404
112,1120,3.1372e+08,0.0700747,3.79956e+08,0.120265
113,1130,3.1372e+08,0.210709,3.79956e+08,0.205717
114,1140,3.1372e+08,0.150272,3.77919e+08,0.152218
115,1150,3.1372e+08,0.119228,3.77919e+08,0.121634
116,1160,3.1372e+08,0.193332,3.73002e+08,0.185707
117,1170,3.1372e+08,0.0815408,3.73002e+08,0.224234
118,1180,3.1372e+08,0.202927,3.73002e+08,0.112317
119,1190,3.1372e+08,0.0167627,3.73002e+08,0.116542
120,1200,3.1372e+08,0.193907,3.73002e+08,0.167301
121,1210,3.1372e+08,0.187107,3.73002e+08,0.27385
122,1220,3.1372e+08,0.199448,3.73002e+08,0.144924
123,1230,3.1372e+08,0.187446,3.73002e+08,0.127606
124,1240,3.1372e+08,0.204622,3.73002e+08,0.163725
125,1250,3.1372e+08,0.168405,3.73002e+08,0.255713
126,1260,3.1372e+08,0.176134,3.71787e+08,0.159238
127,1270,3.1372e+08,0.03333,3.71787e+08,0.120446
128,1280,3.1372e+08,0.187806,3.71787e+08,0.15694
129,1290,3.1372e+08,0.199162,3.71787e+08,0.254068
130,1300,3.1372e+08,0.181769,3.71787e+08,0.160399
131,1310,3.1372e+08,0.158913,3.71787e+08,0.114046
132,1320,3.1372e+08,0.0643041,3.71787e+08,0.109329
133,1330,3.1372e+08,0.1302,3.71787e+08,0.155932
134,1340,3.1372e+08,0.188961,3.71787e+08,0.224725
135,1350,3.1372e+08,0.0292553,3.65565e+08,0.23606
136,1360,3.1372e+08,0.215431,3.65565e+08,0.132469
137,1370,3.1372e+08,0.0352589,3.65565e+08,0.134823
138,1380,3.1372e+08,0.103325,3.65565e+08,0.164449
139,1390,3.1372e+08,0.042281,3.64048e+08,0.152722
140,1400,3.1372e+08,0.0559808,3.64048e+08,0.138737
141,1410,3.1372e+08,0.0547417,3.64048e+08,0.12003
142,1420,3.1372e+08,0.156591,3.64048e+08,0.189165
143,1430,3.1372e+08,0.119805,3.64048e+08,0.23026
144,1440,3.1372e+08,0.189417,3.64048e+08,0.146908
145,1450,3.1372e+08,0.0626069,3.64048e+08,0.142826
146,1460,3.1372e+08,0.204902,3.64048e+08,0.183945
147,1470,3.1372e+08,0.0989879,3.64048e+08,0.197973
148,1480,3.1372e+08,0.188661,3.64048e+08,0.105768
149,1490,3.1372e+08,0.129978,3.64048e+08,0.174687
150,1500,3.1372e+08,0.147493,3.64048e+08,0.140122
151,1510,3.1372e+08,0.067983,3.62377e+08,0.167953
152,1520,3.1372e+08,0.0464508,3.62377e+08,0.125328
153,1530,3.1372e+08,0.0905096,3.62377e+08,0.106578
154,1540,3.1372e+08,0.048434,3.62377e+08,0.127799
155,1550,3.1372e+08,0.158557,3.62377e+08,0.167043
156,1560,3.1372e+08,0.0279902,3.62377e+08,0.154737
157,1570,3.1372e+08,0.0630461,3.62377e+08,0.1282
158,1580,3.1372e+08,0.0812328,3.62377e+08,0.116722
159,1590,3.1372e+08,0.0232546,3.62377e+08,0.115045
160,1600,3.1372e+08,0.0650296,3.62377e+08,0.111748
161,1610,3.1372e+08,0.125508,3.62377e+08,0.182427
162,1620,3.1372e+08,0.0828028,3.62377e+08,0.169325
163,1630,3.1372e+08,0.00888075,3.62377e+08,0.146637
164,1640,3.1372e+08,0.155989,3.62377e+08,0.140712
165,1650,3.1372e+08,0.0649109,3.62377e+08,0.163871
166,1660,3.1372e+08,0.155217,3.62377e+08,0.121328
167,1670,3.1372e+08,0.0105436,3.62377e+08,0.140899
168,1680,3.1372e+08,0.171087,3.62377e+08,0.156314
169,1690,3.1372e+08,0.0508763,3.62377e+08,0.183597
170,1700,3.1372e+08,0.17363,3.62377e+08,0.125332
171,1710,3.1372e+08,0.0526869,3.62377e+08,0.115402
172,1720,3.1372e+08,0.0485051,3.62377e+08,0.134013
173,1730,3.1372e+08,0.0261476,3.62377e+08,0.131291
