Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,1.31919e+13,0.326747,1.45883e+13,1.33818
2,20,1.30552e+13,0.146532,1.39877e+13,1.28755
3,30,1.27044e+13,0.249015,1.37452e+13,1.18084
4,40,1.24143e+13,0.184609,1.34319e+13,0.987101
5,50,1.24143e+13,0.107483,1.30647e+13,0.958751
6,60,1.20546e+13,0.181999,1.29947e+13,1.08164
7,70,1.20546e+13,0.109508,1.29507e+13,1.05415
8,80,1.20546e+13,0.152148,1.2921e+13,0.999846
9,90,1.20546e+13,0.111701,1.27893e+13,1.05365
10,100,1.20546e+13,0.0786958,1.2774e+13,1.05243
11,110,1.20546e+13,0.122774,1.27163e+13,0.798864
12,120,1.20546e+13,0.0892754,1.25723e+13,0.849994
13,130,1.20546e+13,0.0740301,1.24575e+13,0.89738
14,140,1.20546e+13,0.102698,1.24575e+13,0.999111
15,150,1.20546e+13,0.0441101,1.24575e+13,0.907408
16,160,1.20546e+13,0.0941167,1.24575e+13,0.757919
17,170,1.20546e+13,0.0449938,1.24058e+13,0.830314
18,180,1.20546e+13,0.08472,1.23987e+13,0.814035
19,190,1.11914e+13,0.0543899,1.22914e+13,0.798327
20,200,1.11914e+13,0.0888017,1.2266e+13,0.788153
21,210,1.11914e+13,0.0387684,1.2266e+13,0.811133
22,220,1.11914e+13,0.0658189,1.2266e+13,0.756762
23,230,1.11914e+13,0.0394993,1.2266e+13,0.794359
24,240,1.11914e+13,0.0519707,1.22423e+13,0.763021
25,250,1.11914e+13,0.0548889,1.22423e+13,0.785991
26,260,1.11914e+13,0.0618441,1.2188e+13,0.811743
27,270,1.11914e+13,0.0393605,1.2188e+13,0.632871
28,280,1.10631e+13,0.0587196,1.20434e+13,0.651123
29,290,1.10631e+13,0.0818263,1.20434e+13,0.69101
30,300,1.10631e+13,0.0696666,1.20434e+13,0.767815
31,310,1.10631e+13,0.0607416,1.20434e+13,0.695455
32,320,1.10631e+13,0.0803945,1.20056e+13,0.606944
33,330,1.10631e+13,0.073537,1.20056e+13,0.737566
34,340,1.10631e+13,0.0767201,1.20056e+13,0.609673
35,350,1.10631e+13,0.0734405,1.19472e+13,0.681999
36,360,1.10631e+13,0.0723255,1.19256e+13,0.610062
37,370,1.10631e+13,0.0760639,1.19256e+13,0.694308
38,380,1.10631e+13,0.0675073,1.19256e+13,0.661792
39,390,1.10631e+13,0.0799985,1.19256e+13,0.501071
