Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,1.26235e+13,0.359047,1.40727e+13,1.1549
2,20,1.26235e+13,0.251422,1.38134e+13,1.21866
3,30,1.20004e+13,0.154672,1.33244e+13,0.993036
4,40,1.20004e+13,0.206791,1.31727e+13,0.910452
5,50,1.20004e+13,0.262765,1.29936e+13,1.06997
6,60,1.20004e+13,0.141456,1.2957e+13,0.941744
7,70,1.20004e+13,0.121857,1.2957e+13,0.869729
8,80,1.20004e+13,0.136661,1.28164e+13,0.824731
9,90,1.19068e+13,0.162416,1.26533e+13,0.894907
10,100,1.19068e+13,0.0726344,1.26439e+13,0.763979
11,110,1.19068e+13,0.170573,1.26439e+13,0.90146
12,120,1.19068e+13,0.145406,1.262e+13,0.766431
13,130,1.19068e+13,0.0987966,1.25717e+13,0.667293
14,140,1.19068e+13,0.145248,1.25411e+13,0.8053
15,150,1.19068e+13,0.106879,1.25064e+13,0.724812
16,160,1.17125e+13,0.127831,1.24776e+13,0.663195
17,170,1.17125e+13,0.123067,1.24776e+13,0.688178
18,180,1.17125e+13,0.12649,1.24579e+13,0.661954
19,190,1.17125e+13,0.0707491,1.23067e+13,0.700914
20,200,1.17125e+13,0.0909471,1.22915e+13,0.680929
21,210,1.17125e+13,0.0637137,1.22915e+13,0.62809
22,220,1.17125e+13,0.0771279,1.22914e+13,0.6285
23,230,1.17125e+13,0.0689902,1.22914e+13,0.713945
24,240,1.17125e+13,0.0615753,1.22676e+13,0.637124
25,250,1.17125e+13,0.0561339,1.21947e+13,0.588472
26,260,1.17125e+13,0.0464122,1.21548e+13,0.705811
27,270,1.17125e+13,0.0537112,1.21548e+13,0.63589
28,280,1.17125e+13,0.0448656,1.21548e+13,0.643849
29,290,1.17125e+13,0.0382865,1.21548e+13,0.611277
30,300,1.17125e+13,0.0252366,1.21548e+13,0.656165
31,310,1.17125e+13,0.0431438,1.21548e+13,0.634418
32,320,1.17125e+13,0.0342176,1.21131e+13,0.672742
33,330,1.17125e+13,0.0198489,1.21131e+13,0.63919
34,340,1.17125e+13,0.0197952,1.21131e+13,0.608808
35,350,1.17125e+13,0.0193016,1.21131e+13,0.65657
36,360,1.17125e+13,0.0208634,1.21058e+13,0.615368
37,370,1.17125e+13,0.016935,1.21058e+13,0.719946
38,380,1.17125e+13,0.0120773,1.20769e+13,0.616086
39,390,1.17125e+13,0.0206667,1.20769e+13,0.614694
40,400,1.17125e+13,0.0213586,1.20668e+13,0.636371
41,410,1.17125e+13,0.0267884,1.20668e+13,0.560473
42,420,1.17125e+13,0.0214536,1.20668e+13,0.619069
43,430,1.17125e+13,0.024936,1.20507e+13,0.561277
44,440,1.17125e+13,0.0213377,1.20507e+13,0.598535
45,450,1.17125e+13,0.0138177,1.20507e+13,0.626424
46,460,1.17125e+13,0.024253,1.20507e+13,0.646541
47,470,1.17125e+13,0.0226354,1.20471e+13,0.636638
48,480,1.17125e+13,0.0279067,1.20182e+13,0.617182
49,490,1.17125e+13,0.0177324,1.20182e+13,0.609198
50,500,1.17125e+13,0.0228294,1.20182e+13,0.62995
51,510,1.17125e+13,0.0193752,1.20182e+13,0.601456
52,520,1.17125e+13,0.0219955,1.20182e+13,0.602841
53,530,1.17125e+13,0.0161946,1.20043e+13,0.60171
54,540,1.17125e+13,0.0198501,1.20043e+13,0.673106
55,550,1.17125e+13,0.0173743,1.19986e+13,0.582434
56,560,1.17125e+13,0.0200599,1.19986e+13,0.583138
57,570,1.17125e+13,0.0171893,1.19986e+13,0.620865
58,580,1.17125e+13,0.0153566,1.19986e+13,0.587488
59,590,1.17125e+13,0.0110811,1.19986e+13,0.581803
60,600,1.17125e+13,0.0215811,1.19906e+13,0.571372
61,610,1.17125e+13,0.0169539,1.19906e+13,0.591911
62,620,1.17125e+13,0.016315,1.19906e+13,0.600717
63,630,1.17125e+13,0.0285329,1.19906e+13,0.568623
64,640,1.06259e+13,0.0224126,1.18544e+13,0.614772
65,650,1.06259e+13,0.0171344,1.18544e+13,0.578343
66,660,1.06259e+13,0.0140564,1.18544e+13,0.589485
67,670,1.06259e+13,0.0184056,1.18544e+13,0.607883
68,680,1.06259e+13,0.0118516,1.17889e+13,0.604179
69,690,1.06259e+13,0.142633,1.17725e+13,0.671215
70,700,1.06259e+13,0.102909,1.17725e+13,0.671487
71,710,1.06259e+13,0.121421,1.17725e+13,0.588374
72,720,1.06259e+13,0.125588,1.17725e+13,0.648052
73,730,1.06259e+13,0.111485,1.17725e+13,0.687957
74,740,1.06259e+13,0.0884365,1.17688e+13,0.675428
75,750,1.06259e+13,0.113255,1.17688e+13,0.622102
76,760,1.06259e+13,0.117481,1.17688e+13,0.589992
77,770,1.06259e+13,0.12494,1.17688e+13,0.64063
78,780,1.06259e+13,0.148491,1.17688e+13,0.68449
79,790,1.06259e+13,0.0612751,1.17575e+13,0.677468
80,800,1.06259e+13,0.106581,1.17575e+13,0.572041
81,810,1.06259e+13,0.0560483,1.17575e+13,0.587348
82,820,1.06259e+13,0.0882721,1.17216e+13,0.624382
83,830,1.06259e+13,0.0922781,1.17216e+13,0.624752
84,840,1.06259e+13,0.178184,1.17216e+13,0.584302
85,850,1.06259e+13,0.0983876,1.17216e+13,0.533368
86,860,1.06259e+13,0.0852164,1.17216e+13,0.633299
87,870,1.06259e+13,0.202699,1.17216e+13,0.620781
88,880,1.06259e+13,0.0906673,1.17216e+13,0.622704
89,890,1.06259e+13,0.115715,1.17066e+13,0.55264
90,900,1.06259e+13,0.114246,1.17066e+13,0.587761
91,910,1.06259e+13,0.0631658,1.17066e+13,0.627502
92,920,1.06259e+13,0.142148,1.17066e+13,0.505739
93,930,1.06259e+13,0.141514,1.17066e+13,0.619503
94,940,1.06259e+13,0.0839071,1.16956e+13,0.584582
95,950,1.06259e+13,0.143112,1.16956e+13,0.658033
96,960,1.06259e+13,0.18128,1.16956e+13,0.629045
97,970,1.06259e+13,0.112717,1.16956e+13,0.606961
98,980,1.06259e+13,0.123714,1.16956e+13,0.630984
99,990,1.06259e+13,0.146815,1.16956e+13,0.666958
100,1000,1.06259e+13,0.0817894,1.16956e+13,0.637987
101,1010,1.06259e+13,0.162964,1.16817e+13,0.556497
102,1020,1.06259e+13,0.137026,1.16542e+13,0.54984
103,1030,1.06259e+13,0.0582123,1.16542e+13,0.670335
104,1040,1.06259e+13,0.18989,1.16542e+13,0.611895
105,1050,1.06259e+13,0.115077,1.16542e+13,0.590198
106,1060,1.06259e+13,0.187242,1.16536e+13,0.628726
107,1070,1.06259e+13,0.107635,1.16536e+13,0.698427
108,1080,1.06259e+13,0.133438,1.16536e+13,0.615033
109,1090,1.06259e+13,0.130731,1.16536e+13,0.568392
110,1100,1.06259e+13,0.145203,1.16536e+13,0.669651
111,1110,1.06259e+13,0.120167,1.16536e+13,0.703235
112,1120,1.06259e+13,0.201682,1.16536e+13,0.649149
113,1130,1.06259e+13,0.106055,1.16536e+13,0.59076
114,1140,1.06259e+13,0.10628,1.16536e+13,0.671443
115,1150,1.06259e+13,0.15915,1.16507e+13,0.636574
116,1160,1.06259e+13,0.0379883,1.16507e+13,0.660435
117,1170,1.06259e+13,0.146119,1.16507e+13,0.534667
118,1180,1.06259e+13,0.0898897,1.16507e+13,0.663851
119,1190,1.06259e+13,0.164882,1.16507e+13,0.638891
120,1200,1.06259e+13,0.12579,1.16507e+13,0.659054
121,1210,1.06259e+13,0.121461,1.16435e+13,0.591141
122,1220,1.06259e+13,0.118988,1.16435e+13,0.631081
123,1230,1.06259e+13,0.14634,1.16435e+13,0.620261
124,1240,1.06259e+13,0.139472,1.16435e+13,0.607168
125,1250,1.06259e+13,0.129585,1.16435e+13,0.568874
126,1260,1.06259e+13,0.142472,1.16435e+13,0.596145
127,1270,1.06259e+13,0.104328,1.16435e+13,0.613687
128,1280,1.06259e+13,0.143081,1.16435e+13,0.584927
129,1290,1.06259e+13,0.103528,1.16435e+13,0.569813
130,1300,1.06259e+13,0.148615,1.16435e+13,0.551525
131,1310,1.06259e+13,0.0789943,1.16435e+13,0.643961
132,1320,1.06259e+13,0.153612,1.16435e+13,0.70559
133,1330,1.06259e+13,0.173416,1.16435e+13,0.593672
134,1340,1.06259e+13,0.17301,1.16435e+13,0.704106
135,1350,1.06259e+13,0.0844591,1.16435e+13,0.636543
136,1360,1.06259e+13,0.155946,1.16435e+13,0.621126
137,1370,1.06259e+13,0.175585,1.16435e+13,0.675353
138,1380,1.06259e+13,0.130632,1.1643e+13,0.64254
139,1390,1.06259e+13,0.092115,1.1643e+13,0.60487
140,1400,1.06259e+13,0.0985735,1.1643e+13,0.550817
141,1410,1.06259e+13,0.149851,1.1625e+13,0.606867
142,1420,1.06259e+13,0.0413202,1.1625e+13,0.642207
143,1430,1.06259e+13,0.153914,1.1625e+13,0.57929
144,1440,1.06259e+13,0.0697558,1.1625e+13,0.55214
145,1450,1.06259e+13,0.099256,1.1625e+13,0.584674
146,1460,1.06259e+13,0.112125,1.1625e+13,0.614258
147,1470,1.06259e+13,0.121515,1.1625e+13,0.651756
148,1480,1.06259e+13,0.140993,1.1625e+13,0.59549
149,1490,1.06259e+13,0.165396,1.1625e+13,0.558079
150,1500,1.06259e+13,0.10799,1.1625e+13,0.61538
151,1510,1.06259e+13,0.150147,1.1625e+13,0.631923
152,1520,1.06259e+13,0.161794,1.1625e+13,0.617427
153,1530,1.06259e+13,0.118723,1.1625e+13,0.596702
154,1540,1.06259e+13,0.112978,1.1625e+13,0.564064
155,1550,1.06259e+13,0.0955905,1.1625e+13,0.59193
156,1560,1.06259e+13,0.125971,1.1625e+13,0.612498
157,1570,1.06259e+13,0.0966865,1.1625e+13,0.62491
158,1580,1.06259e+13,0.104882,1.1625e+13,0.560452
159,1590,1.06259e+13,0.09273,1.1625e+13,0.552107
160,1600,1.06259e+13,0.123625,1.1625e+13,0.599044
161,1610,1.06259e+13,0.123335,1.1625e+13,0.612447
162,1620,1.06259e+13,0.125508,1.1625e+13,0.522907
163,1630,1.06259e+13,0.196575,1.1625e+13,0.565628
164,1640,1.06259e+13,0.161703,1.1625e+13,0.655583
165,1650,1.06259e+13,0.0771816,1.1625e+13,0.597197
166,1660,1.06259e+13,0.131857,1.16248e+13,0.60046
167,1670,1.06259e+13,0.100625,1.16109e+13,0.600855
168,1680,1.06259e+13,0.142986,1.16035e+13,0.544029
169,1690,1.06259e+13,0.0696059,1.16035e+13,0.61818
170,1700,1.06259e+13,0.141378,1.1526e+13,0.586997
