Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,1.02263e+13,0.258937,1.24853e+13,0.789966
2,20,1.02263e+13,0.163332,1.22549e+13,0.85589
3,30,1.02263e+13,0.193711,1.20555e+13,0.659959
4,40,1.02263e+13,0.0834484,1.19273e+13,0.738025
5,50,1.02263e+13,0.117018,1.1766e+13,0.646169
6,60,1.02263e+13,0.099294,1.1766e+13,0.791326
7,70,1.02263e+13,0.0746033,1.1523e+13,0.692486
8,80,1.02263e+13,0.140369,1.13861e+13,0.747608
9,90,1.02263e+13,0.0662809,1.11807e+13,0.833452
10,100,1.02263e+13,0.144429,1.10156e+13,0.788327
11,110,1.02263e+13,0.0953658,1.10156e+13,0.706574
12,120,1.02263e+13,0.100382,1.09466e+13,0.644651
13,130,1.02263e+13,0.0758696,1.09387e+13,0.739417
14,140,1.02263e+13,0.0801994,1.09387e+13,0.731151
15,150,1.02263e+13,0.0492609,1.09387e+13,0.688174
16,160,1.02263e+13,0.102358,1.09387e+13,0.664034
17,170,1.02263e+13,0.0564129,1.09387e+13,0.725503
18,180,9.22691e+12,0.0553691,1.05224e+13,0.727004
19,190,9.22691e+12,0.0927144,1.05224e+13,0.633646
20,200,9.22691e+12,0.103403,1.03395e+13,0.714311
21,210,9.22691e+12,0.1402,1.03395e+13,0.60563
22,220,9.22691e+12,0.145994,1.03395e+13,0.567421
23,230,9.22691e+12,0.0751262,1.03027e+13,0.594438
24,240,9.22691e+12,0.158688,1.02982e+13,0.764824
25,250,9.22691e+12,0.0597925,1.02982e+13,0.669
26,260,9.22691e+12,0.176502,1.02982e+13,0.574671
27,270,9.22691e+12,0.114717,1.02982e+13,0.589143
28,280,9.22691e+12,0.143792,1.02982e+13,0.636259
29,290,9.22691e+12,0.0686808,1.02982e+13,0.767547
30,300,9.22691e+12,0.0875577,1.02982e+13,0.607753
31,310,9.22691e+12,0.0610907,1.02541e+13,0.594168
32,320,9.22691e+12,0.0999486,1.02541e+13,0.555929
33,330,9.22691e+12,0.0612735,1.02541e+13,0.720763
34,340,9.22691e+12,0.0989321,1.02541e+13,0.656358
35,350,9.22691e+12,0.0674357,1.02541e+13,0.514448
36,360,9.22691e+12,0.11127,1.02541e+13,0.546374
37,370,9.22691e+12,0.0723235,1.01943e+13,0.646254
38,380,9.22691e+12,0.119597,1.01221e+13,0.710533
39,390,9.22691e+12,0.176038,1.00997e+13,0.717873
40,400,9.22691e+12,0.104583,1.00997e+13,0.579277
41,410,9.22691e+12,0.0988083,1.00997e+13,0.537037
42,420,9.22691e+12,0.0858203,1.00997e+13,0.726039
43,430,9.22691e+12,0.0760788,1.00997e+13,0.705934
44,440,9.22691e+12,0.118114,1.00997e+13,0.653732
45,450,9.22691e+12,0.0901697,1.00997e+13,0.619727
46,460,9.22691e+12,0.0761978,1.00997e+13,0.679623
47,470,9.22691e+12,0.0530648,9.97119e+12,0.56664
48,480,9.22691e+12,0.0904874,9.97119e+12,0.565936
49,490,9.22691e+12,0.0757319,9.97119e+12,0.55776
50,500,9.22691e+12,0.052819,9.97119e+12,0.566864
51,510,9.22691e+12,0.079169,9.97119e+12,0.615553
52,520,9.22691e+12,0.0338083,9.94773e+12,0.604002
53,530,9.22691e+12,0.0672983,9.93777e+12,0.664686
54,540,9.22691e+12,0.0444619,9.93777e+12,0.575268
55,550,9.22691e+12,0.0486432,9.93777e+12,0.468974
56,560,9.22691e+12,0.052538,9.93777e+12,0.651385
57,570,9.22691e+12,0.0732828,9.93777e+12,0.692932
58,580,9.22691e+12,0.0459898,9.91793e+12,0.570417
59,590,9.22691e+12,0.140871,9.91793e+12,0.445784
60,600,9.22691e+12,0.0734609,9.91793e+12,0.42164
61,610,9.22691e+12,0.119126,9.89806e+12,0.413817
62,620,9.22691e+12,0.0871774,9.89806e+12,0.577744
63,630,9.22691e+12,0.101343,9.89806e+12,0.465615
64,640,9.22691e+12,0.0922371,9.89806e+12,0.406697
65,650,9.22691e+12,0.113819,9.85641e+12,0.479749
