Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,1.82654e+13,0.297136,2.06885e+13,0.828373
2,20,1.51786e+13,0.328984,1.96024e+13,0.666857
3,30,1.38532e+13,0.295597,1.81642e+13,0.650338
4,40,1.38532e+13,0.0703365,1.75871e+13,0.58999
5,50,1.10942e+13,0.197176,1.49547e+13,0.569494
6,60,8.70179e+12,0.17221,1.47082e+13,0.577832
7,70,8.70179e+12,0.171209,1.33992e+13,0.41987
8,80,8.70179e+12,0.0904491,1.31744e+13,0.469547
9,90,8.70179e+12,0.0628985,1.25578e+13,0.471524
10,100,8.70179e+12,0.111701,1.2167e+13,0.402418
11,110,8.70179e+12,0.0591992,1.2167e+13,0.33305
12,120,8.70179e+12,0.15745,1.2035e+13,0.3261
13,130,8.64693e+12,0.0823487,1.12594e+13,0.414196
14,140,8.64693e+12,0.0515864,1.08362e+13,0.399729
15,150,8.64693e+12,0.102632,1.0225e+13,0.473687
16,160,8.64693e+12,0.113367,9.97808e+12,0.448409
17,170,8.08948e+12,0.164939,9.58235e+12,0.34313
18,180,8.08948e+12,0.0379979,9.32836e+12,0.411168
19,190,8.08948e+12,0.0836242,9.19153e+12,0.33195
20,200,8.08948e+12,0.0384833,9.19153e+12,0.304905
21,210,6.74847e+12,0.0732561,9.03014e+12,0.328469
22,220,6.74847e+12,0.0264007,9.03014e+12,0.415482
23,230,6.74847e+12,0.0607364,8.92073e+12,0.469177
24,240,6.74847e+12,0.0624086,8.37335e+12,0.374007
25,250,6.74847e+12,0.0352471,8.37335e+12,0.404122
26,260,6.74847e+12,0.0471274,8.22789e+12,0.375292
27,270,6.74847e+12,0.0626008,7.95154e+12,0.440181
28,280,6.74847e+12,0.0903815,7.95016e+12,0.284546
29,290,6.74847e+12,0.0711856,7.95016e+12,0.392899
30,300,5.69131e+12,0.089066,7.75099e+12,0.339902
31,310,5.69131e+12,0.11565,7.53748e+12,0.366062
32,320,5.69131e+12,0.123868,7.47828e+12,0.302205
33,330,5.69131e+12,0.0998896,7.27875e+12,0.240568
34,340,5.69131e+12,0.102236,7.27875e+12,0.195576
35,350,5.69131e+12,0.128947,7.27875e+12,0.374049
36,360,5.69131e+12,0.0735896,7.2184e+12,0.229939
37,370,5.69131e+12,0.110114,7.20209e+12,0.263942
38,380,5.69131e+12,0.0406419,7.20209e+12,0.304148
39,390,5.69131e+12,0.109062,7.04519e+12,0.298742
40,400,5.69131e+12,0.0586762,7.04519e+12,0.237367
