Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,1.1519e+13,0.240282,2.0296e+13,0.887749
2,20,6.97467e+12,0.243505,1.53025e+13,0.81376
3,30,6.97467e+12,0.122082,1.29039e+13,0.810761
4,40,6.97467e+12,0.254459,1.23072e+13,0.778027
5,50,6.97467e+12,0.1504,1.19349e+13,0.849025
6,60,6.97467e+12,0.15417,1.14361e+13,0.7878
7,70,6.97467e+12,0.105551,1.08369e+13,0.703648
8,80,6.97467e+12,0.160716,1.06069e+13,0.703132
9,90,6.97467e+12,0.0706466,1.04309e+13,0.698835
10,100,6.97467e+12,0.122467,1.04309e+13,0.682878
11,110,6.97467e+12,0.159814,1.02471e+13,0.714779
12,120,6.97467e+12,0.133579,1.00769e+13,0.776486
13,130,6.97467e+12,0.119949,1.0037e+13,0.737653
14,140,6.97467e+12,0.166509,9.94463e+12,0.653271
15,150,6.97467e+12,0.133972,9.71436e+12,0.672562
16,160,6.97467e+12,0.0948149,9.71353e+12,0.531349
17,170,6.97467e+12,0.115147,9.63524e+12,0.554786
18,180,6.97467e+12,0.105087,9.63524e+12,0.629112
19,190,6.97467e+12,0.0620072,9.63091e+12,0.571078
20,200,6.97467e+12,0.0831517,9.63091e+12,0.618148
21,210,6.97467e+12,0.104247,9.50374e+12,0.52698
22,220,6.97467e+12,0.105824,9.50374e+12,0.571134
23,230,6.97467e+12,0.069951,9.21334e+12,0.652698
24,240,6.97467e+12,0.0474174,9.21334e+12,0.587353
25,250,6.97467e+12,0.0424568,9.21334e+12,0.50678
26,260,6.97467e+12,0.0850871,9.20489e+12,0.581862
27,270,6.97467e+12,0.0289544,9.20489e+12,0.637736
28,280,6.97467e+12,0.0700409,9.20489e+12,0.623809
29,290,6.97467e+12,0.0546602,9.20489e+12,0.567606
30,300,6.97467e+12,0.0563238,9.19234e+12,0.582354
31,310,6.97467e+12,0.070713,9.19234e+12,0.606991
32,320,6.97467e+12,0.061802,9.19198e+12,0.590941
33,330,6.97467e+12,0.094525,9.19198e+12,0.554476
34,340,6.97467e+12,0.0189989,9.05983e+12,0.592561
35,350,6.97467e+12,0.0930144,9.05983e+12,0.559603
36,360,6.97467e+12,0.0689575,8.87514e+12,0.530973
37,370,6.97467e+12,0.0964607,8.87514e+12,0.543497
38,380,6.97467e+12,0.101301,8.87514e+12,0.607753
39,390,6.97467e+12,0.0712324,8.87514e+12,0.595624
40,400,6.97467e+12,0.0973025,8.85967e+12,0.525478
41,410,6.97467e+12,0.116556,8.80296e+12,0.548559
42,420,6.97467e+12,0.0560087,8.50019e+12,0.568481
43,430,6.97467e+12,0.0452005,8.50019e+12,0.632282
44,440,6.97467e+12,0.0572712,8.50019e+12,0.551098
45,450,6.97467e+12,0.0513021,8.43097e+12,0.530411
46,460,6.97467e+12,0.0511753,8.11696e+12,0.416512
47,470,6.97467e+12,0.0915859,8.11696e+12,0.487737
48,480,6.97467e+12,0.0713341,8.07604e+12,0.549522
49,490,6.97467e+12,0.0334053,8.07604e+12,0.588399
50,500,6.97467e+12,0.0249681,7.93954e+12,0.467424
51,510,6.97467e+12,0.0261731,7.93954e+12,0.452519
52,520,6.97467e+12,0.0179327,7.93954e+12,0.524563
53,530,6.97467e+12,0.0182392,7.93954e+12,0.535208
54,540,6.97467e+12,0.0285434,7.93954e+12,0.438713
55,550,6.97467e+12,0.0128143,7.93954e+12,0.491722
56,560,6.97467e+12,0.0190247,7.93954e+12,0.484906
57,570,6.97467e+12,0.0160015,7.93954e+12,0.579501
58,580,6.97467e+12,0.0158082,7.93954e+12,0.485681
59,590,6.97467e+12,0.011488,7.93954e+12,0.485327
60,600,6.97467e+12,0.0142585,7.93954e+12,0.481602
61,610,6.97467e+12,0.0152906,7.93954e+12,0.51561
62,620,6.97467e+12,0.0131851,7.93954e+12,0.526423
63,630,6.61246e+12,0.0080233,7.61543e+12,0.486722
64,640,6.61246e+12,0.108335,7.61543e+12,0.586111
65,650,6.61246e+12,0.0684659,7.61543e+12,0.53559
66,660,6.61246e+12,0.0732747,7.61543e+12,0.573405
67,670,6.61246e+12,0.0160643,7.61543e+12,0.531073
68,680,6.61246e+12,0.159675,7.61543e+12,0.558011
69,690,6.61246e+12,0.0926444,7.61543e+12,0.576311
70,700,6.61246e+12,0.0664951,7.61543e+12,0.653468
71,710,6.61246e+12,0.161204,7.61543e+12,0.545428
72,720,6.61246e+12,0.0856258,7.61543e+12,0.541935
73,730,6.61246e+12,0.130796,7.61543e+12,0.485831
74,740,6.12378e+12,0.121338,7.50243e+12,0.562407
75,750,6.12378e+12,0.110668,7.44414e+12,0.614903
76,760,6.12378e+12,0.105735,7.44414e+12,0.578654
77,770,6.12378e+12,0.077908,7.44414e+12,0.454703
78,780,6.12378e+12,0.105749,7.44414e+12,0.509082
79,790,6.12378e+12,0.0888638,7.44414e+12,0.557563
80,800,6.12378e+12,0.10598,7.44414e+12,0.479082
81,810,6.12378e+12,0.0886567,7.44414e+12,0.432284
82,820,6.12378e+12,0.117357,7.44414e+12,0.51549
83,830,6.12378e+12,0.0717304,7.44414e+12,0.658749
84,840,6.12378e+12,0.137081,7.40607e+12,0.515848
85,850,6.12378e+12,0.0742267,7.40607e+12,0.48185
86,860,6.12378e+12,0.110224,7.40607e+12,0.54092
87,870,6.12378e+12,0.0510594,7.40607e+12,0.549393
88,880,6.12378e+12,0.119096,7.40181e+12,0.449771
89,890,6.12378e+12,0.0323192,7.40181e+12,0.493331
90,900,6.12378e+12,0.10854,7.40181e+12,0.610874
91,910,6.12378e+12,0.0838456,7.40181e+12,0.499062
92,920,6.12378e+12,0.0426086,7.40181e+12,0.521332
