Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,9.41704e+12,0.385227,1.27149e+13,1.03318
2,20,9.27163e+12,0.179551,1.11575e+13,1.05764
3,30,8.10587e+12,0.109762,9.80985e+12,1.00008
4,40,8.10587e+12,0.209731,9.66657e+12,0.880751
5,50,8.10587e+12,0.131849,9.4038e+12,0.970141
6,60,8.10587e+12,0.0897708,9.21009e+12,0.984684
7,70,8.10587e+12,0.0932396,9.01119e+12,0.913556
8,80,8.10587e+12,0.122381,8.91686e+12,0.843336
9,90,8.10587e+12,0.104101,8.77052e+12,0.793691
10,100,8.10587e+12,0.0966649,8.75842e+12,0.835951
11,110,8.10587e+12,0.0805738,8.56271e+12,0.757202
12,120,8.10587e+12,0.0990149,8.55501e+12,0.742807
13,130,8.10587e+12,0.104776,8.51698e+12,0.485631
14,140,8.10587e+12,0.0704557,8.46662e+12,0.564909
15,150,7.69467e+12,0.0927587,8.38504e+12,0.599709
16,160,6.99584e+12,0.064773,8.22135e+12,0.70796
17,170,6.99584e+12,0.08837,8.17687e+12,0.621741
18,180,6.99584e+12,0.0792472,8.17687e+12,0.653234
19,190,6.99584e+12,0.0554175,8.12121e+12,0.577089
20,200,6.99584e+12,0.0818445,8.07763e+12,0.615745
21,210,6.99584e+12,0.0785258,8.07763e+12,0.665139
22,220,6.99584e+12,0.0760636,8.04647e+12,0.539799
23,230,6.99584e+12,0.0732821,8.04647e+12,0.611747
24,240,6.99584e+12,0.0718313,8.01082e+12,0.556347
25,250,6.99584e+12,0.0465771,7.98522e+12,0.614334
26,260,6.99584e+12,0.160071,7.98522e+12,0.52677
27,270,6.99584e+12,0.158707,7.92286e+12,0.494922
28,280,6.99584e+12,0.109379,7.91195e+12,0.558884
29,290,6.99584e+12,0.0948906,7.8243e+12,0.584326
30,300,6.99584e+12,0.0843466,7.77554e+12,0.607469
31,310,6.99584e+12,0.170762,7.71901e+12,0.62395
32,320,6.99584e+12,0.128138,7.64654e+12,0.613396
33,330,6.99584e+12,0.161444,7.63553e+12,0.603259
34,340,6.99584e+12,0.10601,7.63553e+12,0.605036
35,350,6.99584e+12,0.15763,7.63553e+12,0.635677
36,360,6.99584e+12,0.188898,7.63553e+12,0.644684
37,370,6.99584e+12,0.134036,7.63553e+12,0.5955
38,380,6.92039e+12,0.17348,7.55865e+12,0.595489
39,390,6.92039e+12,0.152839,7.53494e+12,0.632041
40,400,6.92039e+12,0.081325,7.53494e+12,0.570719
41,410,6.92039e+12,0.142653,7.53494e+12,0.499784
42,420,6.92039e+12,0.110781,7.53494e+12,0.563784
43,430,6.92039e+12,0.0826021,7.53494e+12,0.561166
44,440,6.92039e+12,0.116332,7.533e+12,0.568307
45,450,6.92039e+12,0.108891,7.533e+12,0.550716
46,460,6.92039e+12,0.0997626,7.49678e+12,0.54788
47,470,6.92039e+12,0.0693681,7.49678e+12,0.589706
48,480,6.92039e+12,0.109678,7.49678e+12,0.511653
49,490,6.92039e+12,0.0303392,7.49678e+12,0.5428
50,500,6.92039e+12,0.0919965,7.49678e+12,0.538563
51,510,6.92039e+12,0.0645627,7.49678e+12,0.595961
52,520,6.92039e+12,0.100005,7.4887e+12,0.475815
53,530,6.92039e+12,0.0679411,7.4887e+12,0.511718
