Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,1.15471e+13,0.313902,1.31609e+13,1.15404
2,20,1.15471e+13,0.247399,1.29932e+13,1.07904
3,30,1.15471e+13,0.179606,1.24446e+13,0.809397
4,40,1.15471e+13,0.1244,1.24394e+13,0.900278
5,50,1.15471e+13,0.106665,1.23692e+13,0.754785
6,60,1.15471e+13,0.215708,1.2315e+13,0.858864
7,70,1.13868e+13,0.205976,1.21731e+13,0.768683
8,80,1.13868e+13,0.213366,1.21731e+13,0.688665
9,90,1.1329e+13,0.215283,1.20914e+13,0.796639
10,100,1.1329e+13,0.193116,1.20874e+13,0.850947
11,110,1.12243e+13,0.147876,1.18454e+13,0.868132
12,120,1.12243e+13,0.219766,1.17858e+13,0.711322
13,130,1.12243e+13,0.161574,1.17858e+13,0.91258
14,140,1.12243e+13,0.135493,1.16934e+13,0.728097
15,150,1.12243e+13,0.117886,1.16268e+13,0.804841
16,160,1.12243e+13,0.136153,1.1555e+13,0.710549
17,170,1.12243e+13,0.142824,1.1555e+13,0.81567
18,180,1.10207e+13,0.147023,1.14281e+13,0.757858
19,190,1.10207e+13,0.14892,1.13609e+13,0.612043
20,200,1.10207e+13,0.100677,1.13609e+13,0.693145
21,210,1.10207e+13,0.15967,1.13048e+13,0.659237
22,220,1.0806e+13,0.149858,1.12498e+13,0.568115
23,230,1.0806e+13,0.0848962,1.12459e+13,0.628063
24,240,1.0806e+13,0.0947384,1.12459e+13,0.701182
25,250,1.0806e+13,0.133226,1.12459e+13,0.662945
26,260,1.0806e+13,0.108116,1.12459e+13,0.647554
27,270,1.0806e+13,0.111928,1.12368e+13,0.570432
28,280,1.0436e+13,0.0525633,1.11573e+13,0.658273
29,290,1.0436e+13,0.114367,1.11573e+13,0.70065
30,300,1.0436e+13,0.116684,1.11573e+13,0.763395
31,310,1.0436e+13,0.100185,1.11573e+13,0.724872
32,320,1.0436e+13,0.0792378,1.11573e+13,0.695471
33,330,1.0436e+13,0.130463,1.11329e+13,0.603184
34,340,1.0436e+13,0.150535,1.11329e+13,0.661053
35,350,1.0436e+13,0.10324,1.11329e+13,0.683656
36,360,1.0436e+13,0.108107,1.10901e+13,0.630367
37,370,1.0436e+13,0.107133,1.10901e+13,0.612805
38,380,1.0436e+13,0.0618011,1.10901e+13,0.593233
39,390,1.0346e+13,0.113112,1.10013e+13,0.63798
40,400,1.0346e+13,0.0754045,1.09171e+13,0.687341
41,410,1.0346e+13,0.0905904,1.09147e+13,0.68157
42,420,1.0346e+13,0.0564129,1.09147e+13,0.553719
43,430,1.0346e+13,0.0532523,1.09147e+13,0.629177
44,440,1.0346e+13,0.0960381,1.09147e+13,0.621623
45,450,1.0346e+13,0.0866634,1.09147e+13,0.618025
46,460,1.0346e+13,0.0864172,1.09081e+13,0.626792
47,470,1.0346e+13,0.0529008,1.09081e+13,0.660089
48,480,1.0346e+13,0.0687046,1.09081e+13,0.623112
49,490,1.0346e+13,0.102338,1.09081e+13,0.636881
50,500,1.0346e+13,0.0391329,1.09081e+13,0.642435
51,510,1.0346e+13,0.0981598,1.09081e+13,0.644854
52,520,1.0346e+13,0.0702287,1.09081e+13,0.680045
53,530,1.0346e+13,0.0445641,1.09081e+13,0.597919
54,540,1.0346e+13,0.0805966,1.09081e+13,0.591727
55,550,1.0346e+13,0.0563811,1.08887e+13,0.591875
56,560,1.0346e+13,0.0682563,1.0863e+13,0.684803
57,570,1.0346e+13,0.0623434,1.08278e+13,0.700249
58,580,1.0346e+13,0.0644544,1.08278e+13,0.591428
59,590,1.0346e+13,0.0610103,1.08126e+13,0.616781
60,600,1.0346e+13,0.0683547,1.08126e+13,0.658946
61,610,1.0346e+13,0.0396615,1.08062e+13,0.634924
62,620,1.0346e+13,0.075382,1.08062e+13,0.607123
63,630,1.02794e+13,0.0797949,1.07593e+13,0.627077
64,640,1.02794e+13,0.0624627,1.07593e+13,0.544245
65,650,1.02794e+13,0.0649003,1.07593e+13,0.553881
66,660,1.02794e+13,0.0464315,1.07593e+13,0.601108
67,670,1.02794e+13,0.0913299,1.07585e+13,0.605852
68,680,1.02794e+13,0.0728717,1.07503e+13,0.567982
69,690,1.02794e+13,0.0647759,1.07503e+13,0.588871
70,700,1.02794e+13,0.0698566,1.07503e+13,0.612093
71,710,1.02794e+13,0.0721135,1.07503e+13,0.566254
72,720,1.02794e+13,0.0576708,1.07503e+13,0.65286
73,730,1.02794e+13,0.0541444,1.07503e+13,0.698912
74,740,1.02794e+13,0.054246,1.07503e+13,0.578497
75,750,1.02794e+13,0.0576898,1.07503e+13,0.616875
76,760,1.02794e+13,0.0724714,1.07503e+13,0.626951
77,770,1.02794e+13,0.0812036,1.07503e+13,0.656239
78,780,1.02794e+13,0.0489614,1.07503e+13,0.600486
79,790,1.02794e+13,0.125683,1.07503e+13,0.626244
80,800,1.02794e+13,0.0489042,1.07503e+13,0.644775
81,810,1.02794e+13,0.0700646,1.0724e+13,0.596893
82,820,1.02794e+13,0.0752347,1.0724e+13,0.590434
83,830,1.02794e+13,0.0592725,1.0724e+13,0.630891
84,840,1.02794e+13,0.0652113,1.0724e+13,0.643705
85,850,1.02794e+13,0.0495435,1.0724e+13,0.604579
86,860,1.02001e+13,0.0744824,1.0716e+13,0.589112
87,870,1.02001e+13,0.058576,1.0716e+13,0.563247
88,880,1.02001e+13,0.0488543,1.0716e+13,0.576034
89,890,1.02001e+13,0.0698073,1.0716e+13,0.614043
90,900,1.02001e+13,0.0524791,1.07111e+13,0.68087
91,910,1.02001e+13,0.0564993,1.07111e+13,0.603327
92,920,1.02001e+13,0.0778927,1.07111e+13,0.59116
93,930,1.02001e+13,0.0985736,1.07111e+13,0.663581
94,940,1.02001e+13,0.0710554,1.07111e+13,0.644253
95,950,1.02001e+13,0.0910685,1.07111e+13,0.598332
96,960,1.02001e+13,0.0858787,1.07111e+13,0.579967
97,970,1.02001e+13,0.0938434,1.07111e+13,0.625177
98,980,1.02001e+13,0.0501046,1.07111e+13,0.609321
99,990,1.02001e+13,0.0913375,1.07111e+13,0.60858
100,1000,1.02001e+13,0.0385747,1.07111e+13,0.555485
101,1010,1.02001e+13,0.0597772,1.07111e+13,0.593527
102,1020,1.02001e+13,0.0306994,1.07111e+13,0.63127
103,1030,1.02001e+13,0.0665967,1.07111e+13,0.576492
104,1040,1.02001e+13,0.0548386,1.07111e+13,0.598564
105,1050,1.02001e+13,0.0913069,1.07111e+13,0.596832
106,1060,1.02001e+13,0.0813731,1.07111e+13,0.662751
107,1070,1.02001e+13,0.109561,1.07111e+13,0.613627
108,1080,1.02001e+13,0.0798832,1.07111e+13,0.595223
109,1090,1.02001e+13,0.0507901,1.07111e+13,0.558377
110,1100,1.02001e+13,0.108575,1.07111e+13,0.663124
