Gen Fevals Best dx df sigma
1 10 8.60885e+09 0.549979 1.18246e+10 0.552246
2 20 8.12025e+09 0.396509 1.08796e+10 0.594377
3 30 8.12025e+09 0.123129 1.08182e+10 0.625605
4 40 8.12025e+09 0.56913 1.04557e+10 0.524126
5 50 8.12025e+09 0.240032 1.01505e+10 0.460224
6 60 8.12025e+09 0.109266 1.00191e+10 0.393256
7 70 8.12025e+09 0.290293 9.82878e+09 0.488876
8 80 8.12025e+09 0.399061 9.82878e+09 0.518496
9 90 8.12025e+09 0.269365 9.68417e+09 0.390086
10 100 8.12025e+09 0.264993 9.5645e+09 0.503652
11 110 8.12025e+09 0.122578 9.5645e+09 0.50507
12 120 8.12025e+09 0.30089 9.5645e+09 0.445243
13 130 8.12025e+09 0.128229 9.51171e+09 0.492618
14 140 8.12025e+09 0.209155 9.47598e+09 0.432919
15 150 8.12025e+09 0.38098 9.34712e+09 0.509549
16 160 5.33823e+09 0.276809 8.92936e+09 0.320892
17 170 5.33823e+09 0.273822 8.92936e+09 0.34141
18 180 5.33823e+09 0.123062 8.87905e+09 0.381858
19 190 5.33823e+09 0.371391 8.63497e+09 0.311561
20 200 5.33823e+09 0.211122 8.63497e+09 0.290056
21 210 5.33823e+09 0.216086 8.52789e+09 0.370203
22 220 5.33823e+09 0.288502 8.32966e+09 0.426205
23 230 5.19938e+09 0.274171 8.17545e+09 0.372232
24 240 5.19938e+09 0.584757 8.17545e+09 0.439869
25 250 5.19938e+09 0.285202 8.02815e+09 0.372904
26 260 5.19938e+09 0.104806 8.02815e+09 0.369482
27 270 5.19938e+09 0.521208 8.02815e+09 0.364598
28 280 5.19938e+09 0.112518 8.02815e+09 0.382641
29 290 4.16932e+09 0.380991 7.60608e+09 0.287618
30 300 4.16932e+09 0.206886 7.56897e+09 0.372382
31 310 4.16932e+09 0.247584 7.54057e+09 0.309445
32 320 4.16932e+09 0.248856 7.54057e+09 0.419615
33 330 4.16932e+09 0.202208 7.29166e+09 0.314854
34 340 2.12448e+09 0.229845 6.69209e+09 0.252655
35 350 2.12448e+09 0.199778 6.69209e+09 0.350699
36 360 2.12448e+09 0.313417 6.58776e+09 0.271272
37 370 2.12448e+09 0.247383 6.05028e+09 0.239264
38 380 2.12448e+09 0.160948 5.42084e+09 0.210485
39 390 2.12448e+09 0.167185 5.42084e+09 0.220259
40 400 2.12448e+09 0.159213 5.34019e+09 0.205819
41 410 2.12448e+09 0.151144 5.06423e+09 0.218198
42 420 2.12448e+09 0.132039 4.76362e+09 0.208352
43 430 2.12448e+09 0.195115 4.64239e+09 0.211852
44 440 2.12448e+09 0.139671 4.5645e+09 0.190851
45 450 2.12448e+09 0.325715 4.53116e+09 0.168836
46 460 2.12448e+09 0.154354 4.3895e+09 0.241246
47 470 1.0212e+09 0.346109 3.90089e+09 0.221062
48 480 1.0212e+09 0.24543 3.85872e+09 0.189855
49 490 1.0212e+09 0.386929 3.85872e+09 0.16347
50 500 1.0212e+09 0.1377 3.56729e+09 0.216787
