100 390 328 446 57 661 540 565 226 533 460 973 176 933 152 772 209 598 187 359 293 45 274 222 34 927 238 546 289 758 169 479 299 344 94 57 236 731 437 214 173 90 438 404 240 923 497 39 554 75 45 175 502 408 200 380 468 886 208 378 522 695 218 69 580 801 176 136 90 693 514 930 195 97 241 252 293 943 62 578 264 685 179 901 376 130 28 37 434 20 398 829 506 717 63 793 256 704 144 494 98
200 419 256 470 71 685 525 565 226 533 460 873 165 928 140 754 212 598 187 380 282 45 274 222 34 927 244 546 289 758 169 479 299 344 94 57 236 749 411 214 173 90 438 281 249 919 491 39 554 77 34 175 502 400 192 380 468 807 243 379 535 695 218 69 580 800 171 136 90 713 496 868 241 97 241 264 347 843 105 578 264 685 179 901 376 130 28 37 434 20 398 794 512 761 85 777 273 704 144 497 101
300 420 256 470 74 685 525 504 224 534 457 873 165 910 198 669 254 596 193 380 282 45 274 236 50 906 260 529 302 758 169 479 299 344 94 57 236 749 411 214 173 90 438 280 249 856 458 30 468 117 54 166 503 400 192 380 468 805 245 389 529 541 209 42 510 799 168 136 90 714 496 868 241 97 241 254 351 841 128 581 272 667 199 847 348 181 44 43 429 23 390 800 493 730 97 775 276 699 169 500 104
400 313 247 470 74 698 490 352 236 535 455 874 193 913 224 669 254 588 214 350 319 63 274 241 57 884 280 516 310 758 169 476 298 344 94 61 218 732 374 214 173 104 432 272 249 819 407 67 450 117 55 137 499 400 192 380 468 805 245 389 529 519 234 21 448 799 168 136 90 743 467 857 234 99 242 254 351 842 153 561 251 667 199 847 348 181 44 59 400 48 337 785 477 735 102 775 276 699 169 500 104
500 302 241 470 74 682 511 340 228 535 455 874 195 898 243 669 254 588 214 342 342 70 274 241 57 877 279 495 299 758 169 377 315 344 94 87 195 732 360 214 173 108 430 258 250 815 376 72 450 140 43 137 499 400 192 380 468 805 245 389 529 519 234 48 377 799 168 136 90 664 468 857 234 100 242 254 351 842 153 559 249 667 199 834 333 181 44 88 380 69 327 622 415 741 111 775 276 699 169 500 104
600 297 231 470 74 651 510 339 226 535 455 869 200 887 260 669 254 588 214 334 357 70 274 247 63 851 289 495 299 741 170 394 233 344 94 112 190 732 358 214 173 108 430 258 250 793 373 72 450 184 21 137 499 400 192 380 468 801 246 389 529 519 234 48 377 796 166 155 98 663 469 839 231 100 242 254 351 838 160 559 249 667 199 834 331 202 66 88 380 69 327 517 402 753 127 773 278 699 169 500 104
700 297 231 486 100 626 476 339 226 464 435 869 200 855 302 632 270 588 214 334 357 70 274 259 89 814 296 495 299 740 170 394 233 344 94 112 190 725 361 214 173 123 423 258 250 782 387 74 427 274 49 98 484 400 192 380 468 646 221 389 529 519 234 48 377 796 166 156 98 666 465 808 205 100 242 254 351 838 159 559 249 659 182 762 343 202 68 88 380 69 327 521 391 753 127 760 295 699 169 520 124
800 297 231 486 100 626 476 339 226 461 435 870 202 855 302 589 262 588 214 334 357 95 262 259 89 813 296 495 299 736 179 394 233 344 94 127 179 701 373 214 173 124 422 258 250 782 388 74 426 274 49 98 484 400 192 380 468 638 217 389 529 469 201 63 355 801 173 156 98 666 465 810 212 121 229 253 353 850 165 448 236 658 179 741 355 202 68 98 382 80 312 521 390 765 148 756 279 697 169 520 124
900 297 231 486 100 626 476 339 226 461 435 864 253 834 314 589 262 588 214 339 360 96 262 270 97 793 293 385 325 733 187 394 233 344 94 141 174 701 373 214 173 124 422 246 224 782 388 74 426 284 58 98 484 400 192 380 468 638 217 389 529 469 201 63 355 811 185 183 99 666 465 813 230 121 229 252 355 866 207 447 236 655 180 741 355 237 69 98 382 80 312 521 390 772 173 756 279 696 167 520 124
1000 297 231 482 111 607 482 339 226 461 435 845 279 777 345 589 262 588 214 339 360 74 297 271 98 791 281 385 325 733 187 394 233 344 94 154 134 701 373 214 173 124 422 246 221 742 391 74 426 296 67 60 467 400 192 380 468 638 217 389 529 469 201 55 371 811 186 183 99 652 451 813 231 128 252 252 355 864 243 447 236 655 180 738 348 237 70 98 382 86 337 521 390 772 173 743 275 696 167 534 132
