Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,1.28301e+13,0.39764,1.95112e+13,0.766016
2,20,1.28301e+13,0.226651,1.66892e+13,0.739032
3,30,1.04841e+13,0.232996,1.58963e+13,0.683246
4,40,9.65311e+12,0.178595,1.50294e+13,0.72569
5,50,9.65311e+12,0.154755,1.4626e+13,0.662813
6,60,8.95634e+12,0.208613,1.44364e+13,0.760652
7,70,8.95634e+12,0.110831,1.4382e+13,0.738934
8,80,8.95634e+12,0.267313,1.42558e+13,0.619086
9,90,8.95634e+12,0.255704,1.42558e+13,0.657508
10,100,8.95634e+12,0.20545,1.4254e+13,0.689463
11,110,8.95634e+12,0.025115,1.41046e+13,0.561699
12,120,8.95634e+12,0.127566,1.34622e+13,0.5657
13,130,8.95634e+12,0.0668716,1.31007e+13,0.625678
14,140,8.95634e+12,0.105715,1.22007e+13,0.582919
15,150,8.95634e+12,0.0594242,1.16126e+13,0.424214
16,160,7.40884e+12,0.0608335,1.08744e+13,0.413432
17,170,7.40884e+12,0.0984063,1.08744e+13,0.452932
18,180,7.40884e+12,0.0963958,1.01251e+13,0.4738
19,190,7.40884e+12,0.09938,9.57107e+12,0.484266
20,200,7.40884e+12,0.0694654,9.48405e+12,0.412253
21,210,7.40884e+12,0.0632717,9.33993e+12,0.331107
22,220,7.40884e+12,0.0591034,9.2388e+12,0.2725
23,230,7.40884e+12,0.128673,9.02208e+12,0.252221
24,240,7.40884e+12,0.0566101,9.02208e+12,0.278911
25,250,7.40884e+12,0.0925382,8.79793e+12,0.259489
26,260,7.40884e+12,0.0507513,8.46835e+12,0.269936
27,270,7.40884e+12,0.0958109,8.39739e+12,0.26273
28,280,7.40884e+12,0.0800976,8.38815e+12,0.250164
29,290,7.40884e+12,0.0251717,8.38815e+12,0.259822
30,300,7.40884e+12,0.0715746,8.29359e+12,0.272076
31,310,7.40884e+12,0.0433821,8.29359e+12,0.281724
32,320,7.40884e+12,0.0367976,8.29359e+12,0.214037
