Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,4.90187e+12,0.305003,5.7113e+12,0.924446
2,20,4.90187e+12,0.185095,5.62345e+12,0.931965
3,30,4.82017e+12,0.0500638,5.29107e+12,0.830298
4,40,4.82017e+12,0.297662,5.22219e+12,0.753213
5,50,4.82017e+12,0.221037,5.21173e+12,0.995188
6,60,4.82017e+12,0.112781,5.16387e+12,0.828201
7,70,4.82017e+12,0.149036,5.12632e+12,0.76078
8,80,4.82017e+12,0.0601273,5.12632e+12,0.858541
9,90,4.82017e+12,0.178754,5.12632e+12,0.896008
10,100,4.82017e+12,0.083166,5.05398e+12,0.759678
11,110,4.82017e+12,0.123375,5.00616e+12,0.831718
12,120,4.82017e+12,0.153953,5.00616e+12,0.847787
13,130,4.59793e+12,0.126796,4.95072e+12,0.771441
14,140,4.59793e+12,0.153722,4.92365e+12,0.701762
15,150,4.59793e+12,0.0675132,4.87648e+12,0.77488
16,160,4.59793e+12,0.121549,4.87648e+12,0.766035
17,170,4.59793e+12,0.151044,4.87648e+12,0.626336
18,180,4.59793e+12,0.0857346,4.83379e+12,0.732097
19,190,4.59793e+12,0.0842217,4.83379e+12,0.733551
20,200,4.59793e+12,0.0841207,4.81907e+12,0.668024
21,210,4.59793e+12,0.0440402,4.81907e+12,0.694521
22,220,4.15825e+12,0.0978062,4.74928e+12,0.766645
23,230,4.15825e+12,0.102216,4.74928e+12,0.79831
24,240,4.15825e+12,0.0590137,4.74928e+12,0.691077
25,250,4.15825e+12,0.0633777,4.74928e+12,0.684648
26,260,4.15825e+12,0.0720961,4.7408e+12,0.676153
27,270,4.15825e+12,0.112027,4.71353e+12,0.785585
28,280,4.15825e+12,0.09041,4.71353e+12,0.727999
29,290,4.15825e+12,0.0472645,4.68233e+12,0.681034
30,300,4.15825e+12,0.105715,4.68233e+12,0.722636
31,310,4.15825e+12,0.0873592,4.68233e+12,0.762561
32,320,4.15825e+12,0.0746229,4.68233e+12,0.801884
33,330,4.15825e+12,0.0630904,4.68233e+12,0.697386
34,340,4.15825e+12,0.0944074,4.68233e+12,0.688594
35,350,4.15825e+12,0.07175,4.68233e+12,0.816713
36,360,4.15825e+12,0.0493845,4.66255e+12,0.839767
37,370,4.15825e+12,0.073249,4.66255e+12,0.672857
38,380,4.15825e+12,0.0396725,4.66255e+12,0.689189
39,390,4.15825e+12,0.0681898,4.66255e+12,0.701158
40,400,4.15825e+12,0.0573918,4.59921e+12,0.828907
41,410,4.15825e+12,0.0659023,4.59921e+12,0.866552
42,420,4.15825e+12,0.0673329,4.59921e+12,0.759283
43,430,4.15825e+12,0.0522371,4.59921e+12,0.716637
44,440,4.15825e+12,0.0583686,4.58039e+12,0.797244
45,450,4.15825e+12,0.0724869,4.53642e+12,0.755925
46,460,4.15825e+12,0.0596962,4.50485e+12,0.67541
47,470,4.15825e+12,0.0547398,4.50485e+12,0.690577
48,480,4.15825e+12,0.0307039,4.50485e+12,0.727812
49,490,4.15825e+12,0.0571272,4.50485e+12,0.727743
50,500,4.15825e+12,0.0400701,4.50485e+12,0.673666
51,510,4.15825e+12,0.0443991,4.50485e+12,0.654067
52,520,4.15825e+12,0.0343424,4.50485e+12,0.684229
53,530,4.15825e+12,0.0321494,4.50485e+12,0.676704
54,540,4.15825e+12,0.0326585,4.50485e+12,0.690323
55,550,4.15825e+12,0.0424858,4.5014e+12,0.653707
56,560,4.15825e+12,0.0423442,4.5014e+12,0.697344
