Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,1.07773e+17,0.296164,3.98562e+17,0.83949
2,20,6.87563e+16,0.153314,2.67516e+17,0.755346
3,30,3.2181e+16,0.204778,1.03566e+17,0.590321
4,40,1.42455e+16,0.189613,5.70038e+16,0.68538
5,50,1.42455e+16,0.0835467,4.35002e+16,0.718569
6,60,1.42455e+16,0.164041,4.16384e+16,0.688667
7,70,1.42455e+16,0.110007,3.72335e+16,0.656743
8,80,1.20234e+16,0.16656,2.80511e+16,0.628546
9,90,1.20234e+16,0.12577,2.41899e+16,0.641182
10,100,1.20234e+16,0.155908,2.19239e+16,0.615633
11,110,1.20234e+16,0.179873,2.19239e+16,0.594832
12,120,4.93566e+15,0.121854,2.04245e+16,0.49777
13,130,4.93566e+15,0.23104,1.89425e+16,0.67889
14,140,4.93566e+15,0.0822878,1.78253e+16,0.701142
15,150,4.93566e+15,0.163673,1.62448e+16,0.573827
16,160,4.93566e+15,0.0569605,1.43924e+16,0.546211
17,170,4.93566e+15,0.115165,1.25606e+16,0.478047
18,180,1.57495e+15,0.137552,1.0975e+16,0.627779
19,190,1.57495e+15,0.0259943,1.0975e+16,0.621253
20,200,1.57495e+15,0.113571,1.04772e+16,0.497529
21,210,1.57495e+15,0.0677255,1.04772e+16,0.546669
22,220,1.57495e+15,0.126552,1.04772e+16,0.531005
23,230,1.57495e+15,0.134235,1.04772e+16,0.553904
24,240,1.57495e+15,0.0903421,1.02631e+16,0.571696
25,250,1.57495e+15,0.101208,1.00696e+16,0.540697
26,260,1.57495e+15,0.108774,9.86369e+15,0.530143
27,270,1.57495e+15,0.10445,9.86369e+15,0.660498
28,280,1.57495e+15,0.0563786,9.23796e+15,0.627354
29,290,1.57495e+15,0.0618176,8.67156e+15,0.501499
30,300,1.57495e+15,0.105393,8.67156e+15,0.501789
31,310,1.57495e+15,0.126831,8.67156e+15,0.536736
32,320,1.57495e+15,0.0976057,8.25919e+15,0.447065
33,330,1.57495e+15,0.0863107,7.10142e+15,0.536132
34,340,1.57495e+15,0.0743776,6.48254e+15,0.467719
35,350,1.57495e+15,0.0564267,6.48254e+15,0.459553
36,360,1.01437e+15,0.0939254,6.42649e+15,0.455343
37,370,1.01437e+15,0.0537431,6.17661e+15,0.471082
38,380,1.01437e+15,0.0762098,6.17661e+15,0.541177
39,390,1.01437e+15,0.085644,6.17661e+15,0.324498
40,400,1.01437e+15,0.0477216,6.17661e+15,0.4342
41,410,1.01437e+15,0.101599,6.17661e+15,0.360816
42,420,1.01437e+15,0.0660926,6.17661e+15,0.518547
43,430,1.01437e+15,0.0811469,5.67586e+15,0.369428
44,440,1.01437e+15,0.106326,5.39983e+15,0.363348
45,450,1.01437e+15,0.11483,5.2581e+15,0.373951
46,460,1.01437e+15,0.0604839,4.89362e+15,0.32848
47,470,1.01437e+15,0.126199,4.89362e+15,0.426975
48,480,1.01437e+15,0.0663273,4.89362e+15,0.317236
49,490,1.01437e+15,0.0559958,4.79811e+15,0.284406
50,500,1.01437e+15,0.0897894,4.79811e+15,0.41309
51,510,1.01437e+15,0.0873961,4.79811e+15,0.360647
52,520,1.01437e+15,0.0795623,4.79811e+15,0.405121
53,530,1.01437e+15,0.108127,4.77303e+15,0.297523
54,540,1.01437e+15,0.0412244,4.77303e+15,0.346246
55,550,1.01437e+15,0.0830878,4.77303e+15,0.353992
56,560,1.01437e+15,0.0532362,4.70155e+15,0.40909
57,570,1.01437e+15,0.0467418,4.70155e+15,0.369174
58,580,1.01437e+15,0.0737745,4.43086e+15,0.267829
59,590,1.01437e+15,0.0844735,4.43086e+15,0.286873
60,600,1.01437e+15,0.0292816,4.43086e+15,0.306937
61,610,1.01437e+15,0.139629,4.43086e+15,0.39463
62,620,1.01437e+15,0.0308395,4.0307e+15,0.374883
63,630,1.01437e+15,0.140021,4.0307e+15,0.334527
64,640,1.01437e+15,0.107219,4.02831e+15,0.400519
65,650,1.01437e+15,0.133128,4.02831e+15,0.396072
66,660,1.01437e+15,0.116952,4.02831e+15,0.371895
67,670,1.01437e+15,0.0711462,4.02831e+15,0.404348
68,680,1.01437e+15,0.10959,4.02831e+15,0.409836
69,690,1.01437e+15,0.112378,3.90004e+15,0.324529
70,700,1.01437e+15,0.0746331,3.90004e+15,0.403857
71,710,1.01437e+15,0.136178,3.90004e+15,0.380953
72,720,1.01437e+15,0.0699816,3.6561e+15,0.394303
73,730,1.01437e+15,0.109251,3.6561e+15,0.365021
74,740,1.01437e+15,0.111681,3.54944e+15,0.360168
75,750,1.01437e+15,0.0901274,3.21542e+15,0.446203
76,760,1.01437e+15,0.103419,3.21542e+15,0.43811
77,770,1.01437e+15,0.0824353,3.21542e+15,0.435512
78,780,1.01437e+15,0.048496,3.21542e+15,0.419924
79,790,1.01437e+15,0.162796,2.92533e+15,0.430502
80,800,1.01437e+15,0.0734759,2.92533e+15,0.474822
81,810,1.01437e+15,0.130113,2.92533e+15,0.334499
82,820,1.01437e+15,0.132888,2.92533e+15,0.417505
83,830,1.01437e+15,0.135141,2.92533e+15,0.472568
84,840,1.01437e+15,0.0836987,2.92533e+15,0.4071
85,850,1.01437e+15,0.123346,2.92533e+15,0.328223
86,860,1.01437e+15,0.0430189,2.92533e+15,0.350866
87,870,1.01437e+15,0.139846,2.92533e+15,0.416825
88,880,1.01437e+15,0.102314,2.92533e+15,0.341995
89,890,1.01437e+15,0.118984,2.92533e+15,0.335859
90,900,1.01437e+15,0.129056,2.92533e+15,0.394848
91,910,1.01437e+15,0.0989032,2.4164e+15,0.339591
92,920,1.01437e+15,0.139827,2.4164e+15,0.403231
93,930,9.98496e+14,0.0482371,1.67143e+15,0.43556
94,940,9.98496e+14,0.212038,1.67143e+15,0.451185
95,950,9.98496e+14,0.0700996,1.67143e+15,0.54244
96,960,9.98496e+14,0.239109,1.67143e+15,0.457896
97,970,9.98496e+14,0.0610107,1.67143e+15,0.371911
98,980,9.98496e+14,0.176953,1.67143e+15,0.391066
99,990,9.98496e+14,0.0904801,1.67143e+15,0.426734
100,1000,6.13927e+14,0.0328726,1.53064e+15,0.395279
101,1010,6.13927e+14,0.144701,1.53064e+15,0.420022
102,1020,6.13927e+14,0.0670109,1.53064e+15,0.348514
103,1030,6.13927e+14,0.0356064,1.53064e+15,0.457254
104,1040,6.13927e+14,0.0784895,1.53064e+15,0.352128
105,1050,6.13927e+14,0.0594313,1.53064e+15,0.376135
106,1060,6.13927e+14,0.0731585,1.53064e+15,0.379367
107,1070,6.13927e+14,0.0654346,1.53064e+15,0.374593
108,1080,6.13927e+14,0.124482,1.53064e+15,0.36088
109,1090,6.13927e+14,0.0518128,1.53064e+15,0.40301
110,1100,6.13927e+14,0.112431,1.53064e+15,0.349213
111,1110,6.13927e+14,0.0241793,1.53064e+15,0.289116
112,1120,6.13927e+14,0.0716785,1.53064e+15,0.306506
113,1130,6.13927e+14,0.025886,1.53064e+15,0.384663
114,1140,6.13927e+14,0.0716989,1.39652e+15,0.304281
115,1150,6.13927e+14,0.0468707,1.39652e+15,0.297064
116,1160,6.13927e+14,0.0465363,1.39652e+15,0.349065
117,1170,6.13927e+14,0.0301455,1.39652e+15,0.360577
118,1180,6.13927e+14,0.0447895,1.39652e+15,0.295448
119,1190,6.13927e+14,0.0256245,1.39652e+15,0.284501
120,1200,6.13927e+14,0.0329491,1.39652e+15,0.316203
121,1210,6.13927e+14,0.0261131,1.32288e+15,0.327536
122,1220,6.13927e+14,0.0426447,1.32288e+15,0.297078
123,1230,6.13927e+14,0.0530282,1.32288e+15,0.313062
124,1240,6.13927e+14,0.0146136,1.32288e+15,0.304601
125,1250,6.13927e+14,0.04869,1.27162e+15,0.335819
126,1260,6.13927e+14,0.0374989,1.27162e+15,0.31278
127,1270,6.13927e+14,0.0193829,1.27162e+15,0.346772
128,1280,6.13927e+14,0.0493494,1.27162e+15,0.365905
129,1290,6.13927e+14,0.0237643,1.23032e+15,0.303248
130,1300,6.13927e+14,0.0833866,1.23032e+15,0.254923
131,1310,6.13927e+14,0.0661128,1.23032e+15,0.218346
132,1320,6.13927e+14,0.0287356,1.23032e+15,0.333645
133,1330,6.13927e+14,0.0392989,1.23032e+15,0.382662
134,1340,6.13927e+14,0.0168425,1.23032e+15,0.229238
135,1350,6.13927e+14,0.0246284,1.23032e+15,0.180489
136,1360,6.13927e+14,0.025792,1.23032e+15,0.276636
137,1370,6.13927e+14,0.0209034,1.23032e+15,0.416667
138,1380,6.13927e+14,0.0475022,1.23032e+15,0.315087
139,1390,6.13927e+14,0.0170321,1.23032e+15,0.182055
140,1400,6.13927e+14,0.0379873,1.23032e+15,0.238414
141,1410,6.13927e+14,0.0573112,1.23032e+15,0.295769
142,1420,6.13927e+14,0.0471579,1.23032e+15,0.316296
143,1430,6.13927e+14,0.05392,1.23032e+15,0.305837
144,1440,6.13927e+14,0.0659983,1.23032e+15,0.380047
145,1450,6.13927e+14,0.0251817,1.23032e+15,0.353476
146,1460,6.13927e+14,0.052896,1.23032e+15,0.284298
147,1470,6.13927e+14,0.0160209,1.23032e+15,0.301673
148,1480,6.13927e+14,0.0462595,1.23032e+15,0.221878
149,1490,6.13927e+14,0.0322567,1.23032e+15,0.292674
150,1500,6.13927e+14,0.0829761,1.23032e+15,0.315174
151,1510,6.13927e+14,0.0117061,1.23032e+15,0.279816
152,1520,6.13927e+14,0.0474662,1.23032e+15,0.254892
153,1530,6.13927e+14,0.025167,1.23032e+15,0.307575
154,1540,6.13927e+14,0.0200846,1.23032e+15,0.354928
155,1550,6.13927e+14,0.0252925,1.23032e+15,0.348185
156,1560,6.13927e+14,0.0217254,1.23032e+15,0.398188
157,1570,6.13927e+14,0.0322898,1.23032e+15,0.344309
158,1580,6.13927e+14,0.0437244,1.23032e+15,0.259835
159,1590,6.13927e+14,0.022652,1.23032e+15,0.274246
160,1600,6.13927e+14,0.0208146,1.23032e+15,0.26308
161,1610,6.13927e+14,0.0410715,1.23032e+15,0.2781
162,1620,6.13927e+14,0.0393425,1.23032e+15,0.277674
163,1630,6.13927e+14,0.024657,1.23032e+15,0.312808
164,1640,6.13927e+14,0.0635501,1.23032e+15,0.287744
165,1650,6.13927e+14,0.0477568,1.23032e+15,0.329338
166,1660,6.13927e+14,0.0668246,1.23032e+15,0.411186
167,1670,6.13927e+14,0.0353353,1.23032e+15,0.290931
168,1680,6.13927e+14,0.0928783,1.23032e+15,0.342911
169,1690,6.13927e+14,0.0406192,1.23032e+15,0.428691
170,1700,6.13927e+14,0.0962739,1.23032e+15,0.351489
171,1710,6.13927e+14,0.085599,1.23032e+15,0.299743
172,1720,6.13927e+14,0.0216074,1.23032e+15,0.306776
173,1730,6.13927e+14,0.0235871,1.23032e+15,0.353983
174,1740,6.13927e+14,0.0277441,1.23032e+15,0.340865
175,1750,6.13927e+14,0.0480262,1.23032e+15,0.323513
176,1760,6.13927e+14,0.0243898,1.23032e+15,0.248387
177,1770,6.13927e+14,0.080861,1.20365e+15,0.342556
178,1780,6.13927e+14,0.0495615,1.20365e+15,0.35668
179,1790,6.13927e+14,0.0315164,1.20365e+15,0.323008
180,1800,6.13927e+14,0.0300005,1.20365e+15,0.234389
181,1810,6.13927e+14,0.0239537,1.20365e+15,0.235248
182,1820,6.13927e+14,0.0187722,1.20365e+15,0.316472
183,1830,6.13927e+14,0.0287355,1.20365e+15,0.39785
184,1840,6.13927e+14,0.0232135,1.20365e+15,0.323294
185,1850,6.13927e+14,0.0210468,1.20365e+15,0.280159
186,1860,6.13927e+14,0.0193325,1.20365e+15,0.270472
187,1870,6.13927e+14,0.00994455,1.20365e+15,0.368355
188,1880,6.13927e+14,0.0297915,1.20365e+15,0.36794
189,1890,6.13927e+14,0.012993,1.20365e+15,0.323022
190,1900,6.13927e+14,0.0378297,1.20365e+15,0.248392
191,1910,6.13927e+14,0.0294056,1.20365e+15,0.304509
