Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,5.14643e+12,0.322559,5.58281e+12,0.838914
2,20,5.14643e+12,0.197492,5.52613e+12,0.850658
3,30,4.346e+12,0.181767,5.19668e+12,0.820502
4,40,4.346e+12,0.180543,5.17075e+12,0.800916
5,50,4.346e+12,0.201216,5.10379e+12,0.698162
6,60,4.346e+12,0.216529,5.0244e+12,0.697581
7,70,4.346e+12,0.180179,4.96598e+12,0.665973
8,80,4.346e+12,0.199016,4.96598e+12,0.673584
9,90,4.346e+12,0.261682,4.96044e+12,0.669769
10,100,4.346e+12,0.215904,4.86203e+12,0.719984
11,110,4.346e+12,0.101235,4.86203e+12,0.677343
12,120,4.346e+12,0.181361,4.86203e+12,0.664269
13,130,4.346e+12,0.149739,4.86203e+12,0.664441
14,140,4.346e+12,0.189137,4.85489e+12,0.684511
15,150,4.346e+12,0.192046,4.85489e+12,0.753421
16,160,4.346e+12,0.190392,4.85489e+12,0.695294
17,170,4.346e+12,0.104795,4.83216e+12,0.690301
18,180,4.346e+12,0.262948,4.81903e+12,0.704052
19,190,4.346e+12,0.220161,4.81903e+12,0.721815
20,200,4.346e+12,0.136132,4.81903e+12,0.73993
21,210,4.346e+12,0.127675,4.81903e+12,0.697704
22,220,4.346e+12,0.284214,4.81903e+12,0.66141
23,230,4.346e+12,0.224104,4.81903e+12,0.698592
24,240,4.346e+12,0.229076,4.81903e+12,0.818654
25,250,4.346e+12,0.178761,4.81903e+12,0.766296
26,260,4.346e+12,0.23934,4.79009e+12,0.773029
27,270,4.346e+12,0.182435,4.79009e+12,0.739414
28,280,4.346e+12,0.143568,4.75789e+12,0.659532
29,290,4.346e+12,0.250853,4.75789e+12,0.775661
30,300,4.346e+12,0.135662,4.74545e+12,0.75698
31,310,4.346e+12,0.338933,4.74545e+12,0.734761
32,320,4.346e+12,0.130152,4.74545e+12,0.71831
33,330,4.346e+12,0.24505,4.74545e+12,0.652143
34,340,4.346e+12,0.115591,4.7311e+12,0.747088
35,350,4.346e+12,0.172763,4.67305e+12,0.808402
36,360,4.346e+12,0.19277,4.67305e+12,0.664533
37,370,4.346e+12,0.16372,4.67305e+12,0.742144
38,380,4.346e+12,0.154097,4.66024e+12,0.660043
39,390,4.346e+12,0.08211,4.6493e+12,0.731571
40,400,4.346e+12,0.128089,4.6493e+12,0.623825
41,410,4.31252e+12,0.138354,4.60275e+12,0.673208
42,420,4.31252e+12,0.144181,4.60275e+12,0.642778
43,430,4.31252e+12,0.0417619,4.60275e+12,0.738823
44,440,4.31252e+12,0.130394,4.60275e+12,0.619231
45,450,4.31252e+12,0.149146,4.60275e+12,0.667824
46,460,4.31252e+12,0.041351,4.60275e+12,0.707802
47,470,4.31252e+12,0.24633,4.54791e+12,0.694626
48,480,4.31252e+12,0.0433326,4.54791e+12,0.77323
49,490,4.31252e+12,0.291764,4.54791e+12,0.641156
50,500,4.31252e+12,0.133353,4.54791e+12,0.663779
51,510,4.31252e+12,0.170951,4.54791e+12,0.698086
52,520,4.31252e+12,0.123048,4.54791e+12,0.700917
53,530,4.31252e+12,0.0918071,4.54791e+12,0.701562
54,540,4.31252e+12,0.137896,4.54791e+12,0.710302
55,550,4.31252e+12,0.103282,4.54791e+12,0.681634
56,560,4.31252e+12,0.172011,4.54791e+12,0.726922
57,570,4.31252e+12,0.11621,4.54791e+12,0.597463
58,580,4.31252e+12,0.120347,4.54791e+12,0.637287
59,590,4.31252e+12,0.0934564,4.54791e+12,0.722033
60,600,4.31252e+12,0.12002,4.54791e+12,0.651841
61,610,4.31252e+12,0.13208,4.54791e+12,0.68683
62,620,4.31252e+12,0.170078,4.54791e+12,0.567007
63,630,4.31252e+12,0.063356,4.54791e+12,0.669345
64,640,4.31252e+12,0.20081,4.54791e+12,0.647653
65,650,4.31252e+12,0.190471,4.54791e+12,0.74646
66,660,4.31252e+12,0.267906,4.54791e+12,0.664914
67,670,4.31252e+12,0.0711113,4.54791e+12,0.674977
68,680,4.31252e+12,0.198846,4.54791e+12,0.693881
69,690,4.31252e+12,0.150839,4.54791e+12,0.696895
70,700,4.31252e+12,0.169455,4.54791e+12,0.613537
71,710,4.31252e+12,0.0614014,4.54791e+12,0.607243
72,720,4.31252e+12,0.108336,4.54791e+12,0.617151
73,730,4.31252e+12,0.0714777,4.54791e+12,0.617684
74,740,4.31252e+12,0.10545,4.54791e+12,0.741823
75,750,4.31252e+12,0.15183,4.54791e+12,0.713141
76,760,4.31252e+12,0.156745,4.54791e+12,0.618895
77,770,4.31252e+12,0.0695723,4.54791e+12,0.630821
78,780,4.31252e+12,0.132654,4.54791e+12,0.691323
79,790,4.31252e+12,0.150309,4.54791e+12,0.730298
80,800,4.31252e+12,0.133078,4.54791e+12,0.628983
81,810,4.31252e+12,0.146766,4.54791e+12,0.646766
82,820,4.31252e+12,0.140854,4.53042e+12,0.665799
83,830,4.31252e+12,0.10135,4.53042e+12,0.748804
84,840,4.31252e+12,0.161242,4.53042e+12,0.706512
85,850,4.31252e+12,0.123427,4.53042e+12,0.674023
86,860,4.31252e+12,0.0794645,4.53042e+12,0.685092
87,870,4.31252e+12,0.243882,4.53042e+12,0.768731
88,880,4.31252e+12,0.147861,4.53042e+12,0.682677
89,890,4.31252e+12,0.20248,4.53042e+12,0.645725
90,900,4.31252e+12,0.0914952,4.52206e+12,0.665037
91,910,4.31252e+12,0.147075,4.52206e+12,0.731985
92,920,4.31252e+12,0.103353,4.52206e+12,0.654743
93,930,4.31252e+12,0.113115,4.52206e+12,0.648262
94,940,4.06757e+12,0.131244,4.47966e+12,0.714692
95,950,4.06757e+12,0.180405,4.47966e+12,0.685609
96,960,4.06757e+12,0.11488,4.47966e+12,0.74756
97,970,4.06757e+12,0.163607,4.47966e+12,0.649469
98,980,4.06757e+12,0.206436,4.47966e+12,0.627898
99,990,4.06757e+12,0.0888424,4.47966e+12,0.712342
100,1000,4.06757e+12,0.242282,4.47531e+12,0.677886
101,1010,4.06757e+12,0.122847,4.47531e+12,0.695559
102,1020,4.06757e+12,0.163468,4.47531e+12,0.687085
103,1030,4.06757e+12,0.116464,4.47531e+12,0.691007
104,1040,4.06757e+12,0.163401,4.47531e+12,0.731144
105,1050,4.06757e+12,0.0565461,4.47531e+12,0.635733
106,1060,4.06757e+12,0.170651,4.47531e+12,0.604138
107,1070,4.06757e+12,0.1156,4.47531e+12,0.680644
108,1080,4.06757e+12,0.190877,4.47531e+12,0.707302
109,1090,4.06757e+12,0.187649,4.44719e+12,0.836879
110,1100,4.06757e+12,0.153147,4.44719e+12,0.692585
111,1110,4.06757e+12,0.123144,4.44719e+12,0.691497
112,1120,4.06757e+12,0.105812,4.44719e+12,0.702017
113,1130,4.06757e+12,0.147196,4.44719e+12,0.688647
114,1140,4.06757e+12,0.157307,4.44719e+12,0.715934
115,1150,4.06757e+12,0.204037,4.44719e+12,0.658692
116,1160,4.06757e+12,0.15661,4.44719e+12,0.775886
117,1170,4.06757e+12,0.157136,4.44719e+12,0.75229
118,1180,4.06757e+12,0.265682,4.44719e+12,0.71886
119,1190,4.06757e+12,0.0474585,4.44719e+12,0.691053
120,1200,4.06757e+12,0.248322,4.44719e+12,0.71968
121,1210,4.06757e+12,0.0927853,4.44719e+12,0.750787
122,1220,4.06757e+12,0.235381,4.43356e+12,0.721835
123,1230,4.06757e+12,0.218136,4.43356e+12,0.728511
124,1240,4.06757e+12,0.257625,4.43356e+12,0.740825
125,1250,4.06757e+12,0.181468,4.43356e+12,0.769626
126,1260,4.06757e+12,0.171961,4.43356e+12,0.701622
127,1270,4.06757e+12,0.150338,4.43356e+12,0.739769
128,1280,4.06757e+12,0.167195,4.43356e+12,0.728096
129,1290,4.06757e+12,0.139267,4.43356e+12,0.719307
130,1300,4.06757e+12,0.190702,4.43356e+12,0.752873
131,1310,4.06757e+12,0.150996,4.43356e+12,0.685834
132,1320,4.06757e+12,0.133134,4.43356e+12,0.746106
133,1330,4.06757e+12,0.25137,4.43356e+12,0.745056
134,1340,4.06757e+12,0.122014,4.43356e+12,0.66784
135,1350,4.06757e+12,0.146344,4.43356e+12,0.65941
136,1360,4.06757e+12,0.0741485,4.43356e+12,0.746072
137,1370,4.06757e+12,0.185067,4.43356e+12,0.712989
138,1380,4.06757e+12,0.178455,4.43356e+12,0.691222
139,1390,4.06757e+12,0.0988857,4.43356e+12,0.700753
140,1400,4.06757e+12,0.15137,4.43356e+12,0.762916
141,1410,4.06757e+12,0.14216,4.43356e+12,0.715794
142,1420,4.06757e+12,0.127389,4.43356e+12,0.684271
143,1430,4.06757e+12,0.100118,4.43356e+12,0.741751
144,1440,4.06757e+12,0.127534,4.43356e+12,0.762036
145,1450,4.06757e+12,0.137271,4.43356e+12,0.727448
146,1460,4.06757e+12,0.102748,4.43356e+12,0.713331
147,1470,4.06757e+12,0.194798,4.43356e+12,0.646258
148,1480,4.06757e+12,0.0638323,4.4291e+12,0.68939
149,1490,4.06757e+12,0.182907,4.4291e+12,0.837243
150,1500,4.06757e+12,0.107612,4.4291e+12,0.728706
151,1510,4.06757e+12,0.136417,4.40287e+12,0.75496
152,1520,4.06757e+12,0.231704,4.40287e+12,0.5923
153,1530,4.06757e+12,0.186324,4.40287e+12,0.705637
154,1540,4.06757e+12,0.249131,4.40287e+12,0.679613
155,1550,4.06757e+12,0.0950732,4.40287e+12,0.758143
156,1560,4.06757e+12,0.0765073,4.40287e+12,0.673064
157,1570,4.06757e+12,0.141655,4.40287e+12,0.583477
158,1580,4.06757e+12,0.156601,4.40287e+12,0.6766
159,1590,4.06757e+12,0.0961841,4.40287e+12,0.767668
160,1600,4.06757e+12,0.192577,4.40287e+12,0.743694
161,1610,4.06757e+12,0.177064,4.40287e+12,0.58168
162,1620,4.06757e+12,0.120864,4.40287e+12,0.696457
163,1630,4.06757e+12,0.110385,4.40287e+12,0.677548
164,1640,4.06757e+12,0.0802832,4.40287e+12,0.610168
165,1650,4.06757e+12,0.0424643,4.40287e+12,0.65167
166,1660,4.06757e+12,0.184631,4.40287e+12,0.679319
167,1670,3.90638e+12,0.104187,4.35891e+12,0.655033
168,1680,3.90638e+12,0.128494,4.35891e+12,0.780432
169,1690,3.90638e+12,0.0963521,4.35891e+12,0.663022
170,1700,3.90638e+12,0.174015,4.35891e+12,0.71083
171,1710,3.90638e+12,0.140747,4.35891e+12,0.640415
172,1720,3.90638e+12,0.130654,4.35891e+12,0.717668
173,1730,3.90638e+12,0.069167,4.35891e+12,0.682537
174,1740,3.90638e+12,0.116202,4.35891e+12,0.67289
175,1750,3.90638e+12,0.136246,4.35891e+12,0.649626
176,1760,3.90638e+12,0.111248,4.35891e+12,0.69936
177,1770,3.90638e+12,0.165136,4.35891e+12,0.777252
178,1780,3.90638e+12,0.0954393,4.35891e+12,0.73
179,1790,3.90638e+12,0.133762,4.35891e+12,0.706002
180,1800,3.90638e+12,0.10277,4.35891e+12,0.679812
181,1810,3.90638e+12,0.151514,4.35891e+12,0.74136
182,1820,3.90638e+12,0.133542,4.35891e+12,0.713647
183,1830,3.90638e+12,0.144653,4.35891e+12,0.701156
184,1840,3.90638e+12,0.180315,4.35891e+12,0.745185
185,1850,3.90638e+12,0.0928601,4.35891e+12,0.688428
186,1860,3.90638e+12,0.10891,4.35891e+12,0.67115
187,1870,3.90638e+12,0.186648,4.35891e+12,0.698145
