Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,4.44328e+12,0.257279,5.55578e+12,0.919678
2,20,4.44328e+12,0.20814,5.45791e+12,0.824852
3,30,4.44328e+12,0.130433,5.38766e+12,0.848109
4,40,4.44328e+12,0.165143,5.21583e+12,0.901785
5,50,3.9017e+12,0.27259,5.10415e+12,0.919402
6,60,3.9017e+12,0.219118,5.07924e+12,0.838666
7,70,3.9017e+12,0.215034,5.05016e+12,0.692145
8,80,3.9017e+12,0.189635,5.05016e+12,0.713601
9,90,3.9017e+12,0.192308,5.05016e+12,0.775326
10,100,3.9017e+12,0.216107,4.9288e+12,0.699442
11,110,3.9017e+12,0.110041,4.89186e+12,0.727433
12,120,3.9017e+12,0.0931187,4.87304e+12,0.614117
13,130,3.9017e+12,0.158932,4.85068e+12,0.553555
14,140,3.9017e+12,0.0842087,4.83499e+12,0.488479
15,150,3.9017e+12,0.103051,4.83499e+12,0.509988
16,160,3.9017e+12,0.0820404,4.82881e+12,0.575527
17,170,3.9017e+12,0.0861651,4.82881e+12,0.526265
18,180,3.9017e+12,0.0764808,4.76112e+12,0.459225
19,190,3.9017e+12,0.121875,4.73634e+12,0.428077
20,200,3.9017e+12,0.10764,4.73634e+12,0.482229
21,210,3.9017e+12,0.122181,4.73634e+12,0.530337
22,220,3.9017e+12,0.0928951,4.73634e+12,0.447724
23,230,3.9017e+12,0.103317,4.73634e+12,0.471627
24,240,3.9017e+12,0.134018,4.73634e+12,0.452889
25,250,3.9017e+12,0.0564642,4.73634e+12,0.489388
26,260,3.9017e+12,0.12227,4.65699e+12,0.48707
27,270,3.9017e+12,0.100063,4.65699e+12,0.48754
28,280,3.9017e+12,0.083191,4.65699e+12,0.44521
29,290,3.9017e+12,0.0716208,4.5925e+12,0.393872
30,300,3.9017e+12,0.0552778,4.5925e+12,0.439027
31,310,3.9017e+12,0.0444705,4.5925e+12,0.497602
32,320,3.9017e+12,0.0448111,4.58757e+12,0.370935
33,330,3.9017e+12,0.0658914,4.58757e+12,0.436427
34,340,3.9017e+12,0.048492,4.58757e+12,0.448509
35,350,3.9017e+12,0.0866623,4.56484e+12,0.444563
36,360,3.9017e+12,0.0626984,4.56484e+12,0.411382
37,370,3.9017e+12,0.0986071,4.56484e+12,0.476336
38,380,3.9017e+12,0.0450854,4.56484e+12,0.522462
39,390,3.9017e+12,0.0998826,4.56133e+12,0.352888
40,400,3.9017e+12,0.0521133,4.56133e+12,0.426963
41,410,3.9017e+12,0.0704077,4.56133e+12,0.329778
42,420,3.9017e+12,0.058817,4.56133e+12,0.385737
43,430,3.9017e+12,0.0560358,4.56133e+12,0.400643
44,440,3.9017e+12,0.0578365,4.56133e+12,0.318593
45,450,3.9017e+12,0.090614,4.56133e+12,0.396184
46,460,3.9017e+12,0.0709483,4.56133e+12,0.442215
47,470,3.9017e+12,0.0755177,4.56133e+12,0.440672
48,480,3.9017e+12,0.0972825,4.56133e+12,0.330269
49,490,3.9017e+12,0.10732,4.56133e+12,0.396714
50,500,3.9017e+12,0.0463263,4.56133e+12,0.403084
51,510,3.9017e+12,0.0711778,4.56133e+12,0.397855
52,520,3.9017e+12,0.0505869,4.56133e+12,0.456732
