Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,10,2.55914e+13,0.297606,2.81547e+13,0.918719
2,20,2.5042e+13,0.363535,2.72964e+13,0.897837
3,30,2.5042e+13,0.120263,2.72569e+13,0.857141
4,40,2.5042e+13,0.234832,2.72565e+13,0.915854
5,50,2.5042e+13,0.259262,2.71747e+13,0.950051
6,60,2.5042e+13,0.237442,2.70547e+13,0.855642
7,70,2.5042e+13,0.124933,2.70529e+13,0.765307
8,80,2.5042e+13,0.150108,2.69315e+13,0.826313
9,90,2.5042e+13,0.0506248,2.67976e+13,0.854344
10,100,2.5042e+13,0.0390217,2.6441e+13,0.77781
11,110,2.5042e+13,0.037607,2.6441e+13,0.748537
12,120,2.5042e+13,0.0591579,2.63543e+13,0.816321
13,130,2.5042e+13,0.0266213,2.63543e+13,0.767956
14,140,2.5042e+13,0.0465212,2.63543e+13,0.822949
15,150,2.5042e+13,0.0551385,2.63543e+13,0.803602
16,160,2.5042e+13,0.0676357,2.63543e+13,0.805585
17,170,2.5042e+13,0.0238504,2.63543e+13,0.803293
18,180,2.46269e+13,0.0961815,2.60817e+13,0.750353
19,190,2.46269e+13,0.0442032,2.60021e+13,0.7454
20,200,2.46269e+13,0.0502135,2.60021e+13,0.737464
21,210,2.46269e+13,0.0345144,2.60021e+13,0.769903
22,220,2.46269e+13,0.020833,2.60021e+13,0.733026
23,230,2.46269e+13,0.0366861,2.59808e+13,0.783068
24,240,2.46269e+13,0.0211127,2.59702e+13,0.740977
25,250,2.46269e+13,0.0195604,2.58517e+13,0.714962
26,260,2.46269e+13,0.0339358,2.58517e+13,0.732062
27,270,2.46269e+13,0.0338232,2.58517e+13,0.784709
28,280,2.46269e+13,0.0215006,2.58517e+13,0.723111
29,290,2.46269e+13,0.0168909,2.58517e+13,0.632704
30,300,2.46269e+13,0.018932,2.58517e+13,0.64958
31,310,2.46269e+13,0.0160649,2.57237e+13,0.66814
32,320,2.46269e+13,0.0283207,2.57211e+13,0.727953
33,330,2.46269e+13,0.0154404,2.57211e+13,0.612809
34,340,2.46269e+13,0.0160232,2.56429e+13,0.622834
35,350,2.46269e+13,0.0190622,2.56429e+13,0.605563
36,360,2.46269e+13,0.0149434,2.56429e+13,0.592771
37,370,2.46269e+13,0.0250623,2.56429e+13,0.524344
38,380,2.46269e+13,0.0255506,2.56429e+13,0.63015
39,390,2.46269e+13,0.0164125,2.56429e+13,0.62689
40,400,2.46269e+13,0.0171321,2.56429e+13,0.606946
41,410,2.46269e+13,0.0180977,2.56429e+13,0.635902
42,420,2.46269e+13,0.016153,2.56429e+13,0.62293
43,430,2.46269e+13,0.0219925,2.56429e+13,0.7129
44,440,2.46269e+13,0.0339725,2.56429e+13,0.695799
45,450,2.46269e+13,0.0113453,2.56429e+13,0.725382
46,460,2.46269e+13,0.0319588,2.56429e+13,0.564831
47,470,2.46269e+13,0.0258304,2.56429e+13,0.583262
48,480,2.46269e+13,0.0131645,2.56429e+13,0.532173
49,490,2.46269e+13,0.0297082,2.56429e+13,0.639414
50,500,2.46269e+13,0.0193011,2.55755e+13,0.653039
51,510,2.46269e+13,0.0221682,2.55755e+13,0.66479
52,520,2.46269e+13,0.0241834,2.55755e+13,0.609414
53,530,2.46269e+13,0.0331683,2.55755e+13,0.608691
54,540,2.46269e+13,0.0202889,2.55755e+13,0.615998
55,550,2.46269e+13,0.0232177,2.55755e+13,0.599241
56,560,2.46269e+13,0.0124358,2.54179e+13,0.585117
57,570,2.46269e+13,0.0435572,2.54179e+13,0.55184
58,580,2.46269e+13,0.0623462,2.54179e+13,0.600669
59,590,2.46269e+13,0.0347421,2.54179e+13,0.597398
60,600,2.46269e+13,0.0260893,2.54179e+13,0.454332
61,610,2.46269e+13,0.0658492,2.54179e+13,0.478516
62,620,2.46269e+13,0.0413021,2.54179e+13,0.545316
63,630,2.46269e+13,0.0293608,2.54179e+13,0.690571
64,640,2.46269e+13,0.0426778,2.54179e+13,0.664609
65,650,2.46269e+13,0.0430108,2.54179e+13,0.501966
66,660,2.46269e+13,0.032651,2.54179e+13,0.597211
67,670,2.46269e+13,0.0472745,2.54179e+13,0.541036
68,680,2.46269e+13,0.0703466,2.54179e+13,0.490064
69,690,2.46269e+13,0.0524492,2.54179e+13,0.588393
70,700,2.46269e+13,0.051008,2.54179e+13,0.593427
71,710,2.46269e+13,0.0434681,2.54179e+13,0.601603
72,720,2.46269e+13,0.0445558,2.54179e+13,0.45546
73,730,2.46269e+13,0.0503483,2.54179e+13,0.417529
74,740,2.46269e+13,0.100192,2.54179e+13,0.669679
75,750,2.46269e+13,0.0631446,2.54179e+13,0.662382
76,760,2.46269e+13,0.0706247,2.54179e+13,0.510248
77,770,2.46269e+13,0.0360212,2.54179e+13,0.433548
78,780,2.46269e+13,0.0284853,2.54179e+13,0.535641
79,790,2.46269e+13,0.0551094,2.54179e+13,0.618562
80,800,2.46269e+13,0.0625961,2.54179e+13,0.582974
81,810,2.45964e+13,0.0303475,2.54148e+13,0.49602
82,820,2.45964e+13,0.0435834,2.54148e+13,0.504773
83,830,2.45964e+13,0.0572439,2.54148e+13,0.617964
84,840,2.45964e+13,0.0587329,2.54148e+13,0.591234
85,850,2.45964e+13,0.0572731,2.5388e+13,0.693031
86,860,2.45964e+13,0.070759,2.5388e+13,0.626188
87,870,2.45964e+13,0.027688,2.5388e+13,0.539354
88,880,2.45964e+13,0.0594309,2.5388e+13,0.607198
89,890,2.45964e+13,0.0280116,2.5388e+13,0.605777
90,900,2.45964e+13,0.0803182,2.5388e+13,0.49299
91,910,2.45964e+13,0.0260133,2.5388e+13,0.515105
92,920,2.45964e+13,0.0538156,2.5388e+13,0.569325
93,930,2.45964e+13,0.0490291,2.5388e+13,0.509164
94,940,2.45964e+13,0.0695198,2.5388e+13,0.634506
95,950,2.45964e+13,0.0404407,2.5388e+13,0.635023
96,960,2.45964e+13,0.0351067,2.5388e+13,0.503727
97,970,2.45964e+13,0.0267713,2.5388e+13,0.452719
98,980,2.45964e+13,0.0283747,2.5388e+13,0.455241
99,990,2.45964e+13,0.0285883,2.5388e+13,0.609531
100,1000,2.45964e+13,0.028488,2.5388e+13,0.562413
101,1010,2.45964e+13,0.0282282,2.5388e+13,0.510879
102,1020,2.45964e+13,0.0165052,2.5388e+13,0.659352
103,1030,2.45964e+13,0.0220369,2.5388e+13,0.528289
104,1040,2.45964e+13,0.0178692,2.5388e+13,0.555121
105,1050,2.45964e+13,0.0250052,2.5388e+13,0.47953
106,1060,2.45964e+13,0.0206522,2.5388e+13,0.606399
107,1070,2.45964e+13,0.0208045,2.5388e+13,0.612285
108,1080,2.45964e+13,0.0240988,2.5388e+13,0.508136
109,1090,2.45964e+13,0.0233907,2.53844e+13,0.529109
110,1100,2.45964e+13,0.0184833,2.53844e+13,0.468138
111,1110,2.45964e+13,0.0611193,2.53844e+13,0.485759
112,1120,2.45964e+13,0.0228231,2.53844e+13,0.659741
113,1130,2.45964e+13,0.060809,2.53844e+13,0.512186
114,1140,2.45964e+13,0.0554281,2.53844e+13,0.428322
115,1150,2.45964e+13,0.106411,2.53844e+13,0.553257
116,1160,2.45964e+13,0.0219332,2.53844e+13,0.671487
117,1170,2.45964e+13,0.110912,2.53844e+13,0.522818
118,1180,2.45964e+13,0.0329924,2.53844e+13,0.50188
119,1190,2.45964e+13,0.0643196,2.53306e+13,0.446461
120,1200,2.45964e+13,0.0823234,2.53306e+13,0.519882
121,1210,2.45964e+13,0.038105,2.53306e+13,0.573127
122,1220,2.45964e+13,0.0901744,2.53306e+13,0.41132
123,1230,2.45964e+13,0.0334935,2.53306e+13,0.553319
124,1240,2.45964e+13,0.0429223,2.53306e+13,0.448428
125,1250,2.45964e+13,0.0510506,2.53306e+13,0.448695
126,1260,2.45964e+13,0.0222843,2.53306e+13,0.523067
127,1270,2.45964e+13,0.0632724,2.53306e+13,0.610049
128,1280,2.45964e+13,0.0316387,2.53306e+13,0.565645
129,1290,2.45964e+13,0.0527949,2.52842e+13,0.376723
130,1300,2.44763e+13,0.0436901,2.52054e+13,0.347288
131,1310,2.44763e+13,0.0862452,2.52054e+13,0.406513
132,1320,2.44763e+13,0.0338472,2.52054e+13,0.442826
133,1330,2.44763e+13,0.0682148,2.52054e+13,0.530862
134,1340,2.44763e+13,0.053366,2.52054e+13,0.406805
135,1350,2.44763e+13,0.0245202,2.52054e+13,0.414391
136,1360,2.44763e+13,0.0377171,2.52054e+13,0.548063
137,1370,2.44763e+13,0.0335553,2.52054e+13,0.499227
138,1380,2.44763e+13,0.0627025,2.52054e+13,0.445222
139,1390,2.44763e+13,0.0469276,2.52054e+13,0.364913
140,1400,2.44763e+13,0.0531719,2.52054e+13,0.482778
141,1410,2.44763e+13,0.0711251,2.52054e+13,0.544563
142,1420,2.44763e+13,0.0670204,2.52054e+13,0.478205
143,1430,2.44763e+13,0.0910594,2.52054e+13,0.49652
144,1440,2.44763e+13,0.0447048,2.52054e+13,0.45934
145,1450,2.44763e+13,0.0405658,2.52054e+13,0.488767
146,1460,2.44763e+13,0.0436275,2.52054e+13,0.380042
147,1470,2.44763e+13,0.0364461,2.52054e+13,0.35874
148,1480,2.44763e+13,0.0477521,2.52054e+13,0.422495
149,1490,2.44763e+13,0.0268002,2.52054e+13,0.478226
150,1500,2.44763e+13,0.0399746,2.52054e+13,0.525699
151,1510,2.44763e+13,0.0297327,2.52054e+13,0.447188
152,1520,2.44763e+13,0.0815779,2.52054e+13,0.394513
153,1530,2.44763e+13,0.0340891,2.52054e+13,0.522344
154,1540,2.44763e+13,0.0711612,2.52054e+13,0.368143
155,1550,2.44763e+13,0.0260171,2.52054e+13,0.405377
156,1560,2.44763e+13,0.0598345,2.51864e+13,0.546347
157,1570,2.44763e+13,0.0256651,2.51864e+13,0.494352
158,1580,2.44763e+13,0.0239766,2.51864e+13,0.325451
159,1590,2.44763e+13,0.0246794,2.51864e+13,0.319393
160,1600,2.44763e+13,0.0236645,2.51864e+13,0.394315
161,1610,2.44763e+13,0.0377422,2.51864e+13,0.335875
162,1620,2.44763e+13,0.0351049,2.51864e+13,0.441294
163,1630,2.44763e+13,0.0416718,2.51864e+13,0.406946
164,1640,2.44763e+13,0.0283664,2.51864e+13,0.444232
165,1650,2.44763e+13,0.04598,2.51864e+13,0.52954
166,1660,2.44763e+13,0.0556858,2.51864e+13,0.317207
167,1670,2.44763e+13,0.0261891,2.51864e+13,0.275551
