Problem name: gauci_problem
	C++ class name: gauci_problem

	Global dimension:			2
	Integer dimension:			0
	Fitness dimension:			1
	Number of objectives:			1
	Equality constraints dimension:		0
	Inequality constraints dimension:	0
	Lower bounds: [-1, -1]
	Upper bounds: [1, 1]
	Has batch fitness evaluation: false

	Has gradient: false
	User implemented gradient sparsity: false
	Has hessians: false
	User implemented hessians sparsity: false

	Fitness evaluations: 0

	Thread safety: basic

CMAES 4 PaGMO: 
mu: CMAES 4 PaGMO: 5 - lambda: 10 - mueff: 
3.1673 - N: 2mu: 
CMAES 4 PaGMO: CMAES 4 PaGMO: 5
mu:  - lambda: 10 - mueff: 5 - lambda: 10 - mueff: cc: 
0.609083 - cs: 0.508227 - c1: 0.142275 - cmu: 0.154745 - sigma: 0.5 - damps: mu: 1.50823 - chiN: 3.16735 - lambda: 10 - mueff:  - N: 3.1673 - N: 3.16732 - N: 
2
cc: 0.609083 - cs: 1.254270.508227 - c1: 0.142275 - cmu: 
2
cc: 0.609083 - cs: 0.154745 - sigma: 0.5 - damps: 1.50823 - chiN: cc: 1.25427
0.508227 - c1: 0.142275 - cmu: 0.154745 - sigma: 0.5 - damps: 1.50823 - chiN: 1.25427
0.609083 - cs: 0.508227 - c1: 0.142275 - cmu: 0.154745 - sigma: 0.5 - damps: 1.50823 - chiN: 1.25427


   Gen:      
Gen:        Fevals:        Fevals:          Best:            dx:            df:         sigma:
      1          Best:            dx:            df:         sigma:              
   Gen:        Fevals:          Best:            dx:            df:         sigma:

1      0      1              0    1.03482e+090       0.747463       1.04562e+09Gen:     2.9212e+08    1.06194e+09       0.747463    2.48253e+08            0.5
0.5
        Fevals:          Best:            dx:            df:       0.747463    2.59505e+08            0.5
         sigma:
      1              0    1.04566e+09       0.747463    2.29437e+08            0.5
      2             10    1.13127e+09        1.25438    1.61306e+08        0.55433
      2             10    1.09792e+09        1.32658    2.04259e+08       0.580995
      2             10    1.08486e+09        1.30877    2.18818e+08       0.579523
      2             10    1.10381e+09         1.7939    2.15561e+08        0.76832
      3             20    1.06145e+09        1.74395    2.45645e+08       0.461239
      3             20    1.03005e+09        3.08312    2.50076e+08       0.785614
      3             20    1.06733e+09        1.76505    2.49911e+08       0.474374
      3             20     1.0877e+09        1.71927    2.22121e+08       0.466641
      4             30    1.02483e+09       0.308641    2.75989e+08       0.433716
      4             30    1.09893e+09       0.565294    2.05632e+08       0.819994
      4             30    1.09559e+09       0.454212    1.66775e+08       0.551904
      4             30    1.08062e+09       0.271834    2.63063e+08       0.411774
      5             40    1.05314e+09        1.15854    2.63656e+08       0.452056
      5             40    1.09263e+09        1.99638    1.72569e+08       0.809959
      5             40    1.03492e+09          1.463    2.51794e+08       0.542512
      5             40    1.00697e+09       0.751232    2.39002e+08       0.339677
      6             50    1.06924e+09       0.807514     1.4273e+08       0.384849
      6             50    1.03203e+09        1.72868    1.43304e+08       0.772042
      6             50    1.03329e+09       0.972744    1.59874e+08        0.47825
      6             50    1.04186e+09       0.771421    1.39113e+08       0.360255
      7             60    1.04694e+09       0.704868    3.20778e+08       0.344686
      7             60    1.03793e+09         1.5208    1.98248e+08       0.694725
      7             60    1.07359e+09       0.849178    1.83796e+08       0.431645
      7             60    1.03569e+09       0.729857    1.56224e+08       0.357702
      8             70     9.9947e+08       0.784363      2.698e+08       0.336849
      8             70     9.5022e+08        1.31697    3.06908e+08        0.53085
      8             70    1.01317e+09       0.835534    2.10036e+08       0.371174
      8             70    1.04633e+09       0.889105    2.21082e+08       0.359668
      9             80    1.02514e+09       0.367389    3.11747e+08       0.272698
      9             80     1.0423e+09       0.639298    2.77243e+08       0.507518
