Gen: 1, Fevals: 0, Best: 1.10343e+09, dx: 3.26293, df: 1.84665e+08, sigma: 0.5
Gen: 2, Fevals: 10, Best: 1.07251e+09, dx: 2.23938, df: 2.17908e+08, sigma: 0.491659
Gen: 3, Fevals: 20, Best: 1.07231e+09, dx: 1.17805, df: 2.10204e+08, sigma: 0.421575
Gen: 4, Fevals: 30, Best: 1.11383e+09, dx: 0.26066, df: 2.66209e+08, sigma: 0.463528
Gen: 5, Fevals: 40, Best: 1.03535e+09, dx: 1.20357, df: 2.31457e+08, sigma: 0.40662
Gen: 6, Fevals: 50, Best: 1.04291e+09, dx: 0.457914, df: 1.72873e+08, sigma: 0.384101
Gen: 7, Fevals: 60, Best: 1.07093e+09, dx: 1.15307, df: 1.70341e+08, sigma: 0.307635
Gen: 8, Fevals: 70, Best: 1.05844e+09, dx: 0.762113, df: 2.04087e+08, sigma: 0.269531
Gen: 9, Fevals: 80, Best: 1.01946e+09, dx: 0.261479, df: 2.55217e+08, sigma: 0.304789
Gen: 10, Fevals: 90, Best: 1.07809e+09, dx: 0.424595, df: 1.59063e+08, sigma: 0.333672
Gen: 11, Fevals: 100, Best: 1.07136e+09, dx: 0.694111, df: 3.06523e+08, sigma: 0.365246
Gen: 12, Fevals: 110, Best: 1.02125e+09, dx: 0.423129, df: 1.399e+08, sigma: 0.282745
Gen: 13, Fevals: 120, Best: 1.06609e+09, dx: 0.315338, df: 1.22931e+08, sigma: 0.249212
Gen: 14, Fevals: 130, Best: 1.0204e+09, dx: 0.139845, df: 1.70339e+08, sigma: 0.244909
Gen: 15, Fevals: 140, Best: 1.05088e+09, dx: 0.768071, df: 1.20771e+08, sigma: 0.206189
Gen: 16, Fevals: 150, Best: 9.90544e+08, dx: 0.247587, df: 1.98381e+08, sigma: 0.17065
Gen: 17, Fevals: 160, Best: 1.0255e+09, dx: 0.0949455, df: 1.63082e+08, sigma: 0.144766
Gen: 18, Fevals: 170, Best: 1.04186e+09, dx: 0.0613764, df: 1.35348e+08, sigma: 0.134942
Gen: 19, Fevals: 180, Best: 1.03308e+09, dx: 0.106841, df: 1.0214e+08, sigma: 0.124707
Gen: 20, Fevals: 190, Best: 1.02126e+09, dx: 0.0972131, df: 1.27808e+08, sigma: 0.104384
